sec,ofi_best,ofi_sum,ofi_integrated
34458,0.168127,1.29968,1.06281
34459,-0.248176,-1.96982,-1.63357
34460,-0.0502964,-0.00543107,-0.0379129
34461,-0.0488796,-0.816077,-0.603471
34462,-0.0701316,-1.44089,-1.10345
34463,-0.176864,-2.26003,-1.74201
34464,-0.0162932,-0.64063,-0.482312
34465,0.0122789,0.268484,0.200725
34466,0.135304,0.569317,0.509218
34467,-0.0838273,-0.575693,-0.463936
34468,-0.0344755,-0.289972,-0.214025
34469,0.489504,2.83384,2.35116
34470,0.129165,4.24426,2.94464
34471,0.144514,2.16062,1.64849
34472,0.614655,4.69952,3.90931
34473,0.187726,3.35356,2.45791
34474,-0.0812298,-0.698718,-0.549826
34475,0.232355,4.14485,3.25462
34476,0.288083,3.79773,2.63049
34477,-0.0611585,0.140027,0.0473964
34478,-0.132943,-1.57997,-0.97821
34479,-0.049588,-3.01377,-2.40752
34480,0.161279,5.59896,3.86529
34481,-0.14168,-2.69641,-1.92304
34482,-0.540745,-7.60373,-5.83664
34483,0.105079,1.5658,1.19486
34484,0.0502964,1.22671,0.848106
34485,-0.0373091,-0.787741,-0.588004
34486,0.0217243,1.439,0.978876
34487,0.496824,1.2312,1.29743
34488,0.0174739,0.0609224,-0.0226589
34489,0.178753,1.18751,0.984815
34490,0.133651,0.0344755,0.176843
34491,-0.668966,-6.11939,-4.88842
34492,-0.632601,-0.939338,-1.27839
34493,-0.0505325,-0.701788,-0.530498
34494,-0.0828828,-0.329878,-0.294354
34495,0.0377813,1.35682,0.931111
34496,-0.562706,-4.5399,-3.80805
34497,0.0236133,0.487379,0.339545
34498,0.0892584,0.501783,0.434969
34499,0.308154,3.46313,2.38186
34500,0.320433,4.6922,3.50176
34501,0.0148764,-0.00802853,0.0457042
34502,-0.0916197,-1.3266,-1.01322
34503,-0.0396704,0.0682425,0.026717
34504,-0.0838273,-0.354672,-0.350393
34505,0.209686,1.32258,1.09281
34506,0.710761,9.80048,7.71156
34507,-0.469197,-6.50075,-5.20428
34508,-0.421026,-3.36419,-2.75993
34509,-0.176392,-2.74836,-2.05986
34510,0.450778,3.97483,3.09172
34511,0.0583249,1.66899,1.19213
34512,0.274151,2.90609,2.22727
34513,-0.28029,-3.89903,-2.8691
34514,-0.123734,-0.984676,-0.773387
34515,-0.0262108,-0.468961,-0.303014
34516,-0.100593,1.11124,0.496896
34517,0.328461,0.281943,0.67114
34518,-0.618905,-3.00598,-2.58906
34519,0.0210159,-0.222438,-0.144606
34520,-0.485962,-5.88114,-4.34395
34521,-0.153959,-1.5828,-1.19594
34522,0.218187,1.61822,1.3154
34523,0.496352,2.49829,2.16166
34524,0.0049588,0.703913,0.529607
34525,0.0224327,0.63874,0.424422
34526,-0.118539,-0.48242,-0.463109
34527,-0.0977592,-1.60996,-1.14434
34528,0.12397,1.62743,1.21244
34529,0.106732,1.97832,1.4288
34530,0.19481,1.68339,1.33024
34531,-0.125151,-0.616544,-0.537857
34532,0.07084,1.90985,1.35425
34533,-0.526341,-5.54228,-4.2964
34534,0.247468,2.62179,2.01112
34535,0.366007,1.58162,1.36403
34536,0.416067,4.84333,3.75297
34537,0.378522,9.87344,7.37339
34538,-0.269664,-9.2772,-6.87377
34539,-0.0517132,-0.399537,-0.308032
34540,0.01771,0.791755,0.558971
34541,0.37191,9.16055,7.03348
34542,2.20501,18.7195,14.1402
34543,-0.168363,-3.81804,-2.63892
34544,-0.178044,-1.86899,-1.39141
34545,-0.303904,-4.33045,-3.39044
34546,0.328461,4.97934,3.83106
34547,0.302959,0.521618,0.669078
34548,-0.014168,-1.32518,-1.05551
34549,-0.116886,-0.71572,-0.669388
34550,0.323975,3.91627,2.88167
34551,0.209922,1.23049,0.886741
34552,-0.196699,-1.83806,-1.38022
34553,-0.0559636,-0.951617,-0.619686
34554,-0.226924,-5.67924,-4.04101
34555,0.0595056,0.249357,0.266239
34556,0.399065,6.00015,4.50363
34557,0.0524216,0.166474,0.151222
34558,0.0384897,0.131998,0.177776
34559,-0.0316419,-0.962243,-0.872796
34560,-0.483837,-3.51862,-2.7816
34561,-2.05837,-14.5012,-11.6697
34562,-0.375688,2.21351,1.25013
34563,-0.486198,-4.32549,-3.36887
34564,0.308154,2.83313,2.21572
34565,-0.129873,-2.70349,-1.96279
34566,0.249357,4.96777,3.4758
34567,0.05313,0.917142,0.755276
34568,-0.0550191,-2.52852,-1.84225
34569,-0.573568,-8.60564,-6.15898
34570,-0.220076,-2.05837,-1.68494
34571,-0.19481,-2.30135,-1.72754
34572,0.170488,2.42745,1.78523
34573,0.357033,5.50049,4.142
34574,-0.11051,-1.43357,-1.03817
34575,0.05313,-0.0781601,-0.0251896
34576,0.353019,6.37796,4.58018
34577,-0.200713,-2.76488,-2.07187
34578,0.03542,-0.22716,-0.133193
34579,0.600015,6.98742,5.17282
34580,-0.11051,-2.60172,-1.89558
34581,-0.17096,-1.49638,-1.22848
34582,0.962243,6.81126,5.48781
34583,-0.146166,-2.66736,-2.10575
34584,-0.270373,-3.28343,-2.47319
34585,-0.406621,-2.22296,-1.83308
34586,0.335309,2.20147,1.78894
34587,-0.110274,-0.547593,-0.42552
34588,-0.153959,-3.99136,-2.91535
34589,0.118067,2.00477,1.55761
34590,0.200713,3.55404,2.53713
34591,-0.280054,-2.08364,-1.63268
34592,-0.111455,-0.833314,-0.646289
34593,-0.549954,-8.19666,-5.99178
34594,-0.554205,-3.27777,-3.01171
34595,-0.445347,-4.87426,-3.61123
34596,0.0979953,1.44915,0.959657
34597,0.161279,2.14716,1.67994
34598,-0.24794,-3.21873,-2.47838
34599,0.0325864,-0.312877,-0.180354
34600,-0.0741458,-1.2227,-0.867603
34601,-0.18442,-1.9703,-1.52407
34602,0.200477,1.90465,1.44951
34603,0.591514,7.32509,5.42443
34604,-0.0224327,-0.351366,-0.282919
34605,0.153487,0.898487,0.785833
34606,0.101065,0.809465,0.657644
34607,-0.166474,-1.02907,-0.976644
34608,0.0451015,0.674869,0.549214
34609,-0.0108621,-0.931073,-0.701701
34610,-0.0635198,-1.11573,-0.801604
34611,0.144041,1.32258,0.965609
34612,-0.0144041,-0.692815,-0.529117
34613,0.30532,2.63903,2.18599
34614,-0.225035,-0.995066,-0.893424
34615,-0.0826466,-0.673216,-0.64164
34616,0.264469,3.27588,2.55572
34617,0.362937,1.97785,1.65164
34618,-0.319961,-2.32875,-1.92991
34619,0.003542,0.337434,0.193597
34620,0.251482,3.53208,2.65268
34621,0.0264469,2.7153,1.59177
34622,-0.29493,-5.85374,-4.28014
34623,-0.106496,-1.65128,-1.1858
34624,-0.859997,-9.21486,-6.94402
34625,-0.398829,-4.70472,-3.70736
34626,0.319961,3.11436,2.44212
34627,-0.0838273,-0.898487,-0.718481
34628,-0.778768,-8.03514,-6.22283
34629,0.809465,10.0033,7.35304
34630,-0.353964,-3.36136,-2.62847
34631,-0.086897,-0.602848,-0.426927
34632,-0.219368,-2.08388,-1.73927
34633,-0.0472267,-0.516187,-0.440567
34634,-0.348769,-3.20693,-2.49822
34635,0.206617,2.28671,1.93421
34636,0.62292,6.72083,5.00187
34637,0.466363,4.78973,3.59982
34638,0.326808,3.3002,2.71726
34639,-0.0115705,0.136249,0.0243703
34640,0.880069,7.91967,6.22122
34641,0.197644,1.75943,1.2879
34642,0.143805,0.702733,0.647591
34643,-0.38962,-3.34365,-2.79336
34644,-0.171197,-2.50868,-1.83323
34645,-0.162696,-2.50962,-1.86772
34646,-0.245342,-1.96652,-1.60304
34647,0.195754,2.10985,1.63704
34648,0.0399065,0.992232,0.631992
34649,0.060214,0.67723,0.495803
34650,-0.476281,-4.55383,-3.47278
34651,0.294222,3.45062,2.48317
34652,0.341685,5.23909,3.88001
34653,0.381591,3.91485,2.97652
34654,0.573095,3.97766,3.17841
34655,0,-0.003542,-0.0185919
34656,0.0311696,-0.261636,-0.163986
34657,0.22291,4.92857,3.64045
34658,-0.242509,-3.32121,-2.50624
34659,-0.0590333,-0.507687,-0.413912
34660,0.226688,4.03623,2.8314
34661,0.104843,1.65364,1.13399
34662,0.00613946,0.810882,0.61819
34663,0.0410872,0.506506,0.350328
34664,-0.505325,-7.52557,-5.59999
34665,-0.321614,-3.00645,-2.43716
34666,0.0306973,1.80807,1.18161
34667,-0.0129873,0.401899,0.241168
34668,0.0890222,1.51291,1.11369
34669,-0.0597417,1.51786,0.916238
34670,-0.0817021,-0.716664,-0.627589
34671,0.15939,1.34218,0.973222
34672,-0.134596,-2.20478,-1.58036
34673,-0.0155848,-0.547593,-0.451633
34674,-0.00401427,-1.14761,-0.752776
34675,-0.137902,-1.18137,-1.01472
34676,-0.063756,-1.12754,-0.938799
34677,-0.0750904,-0.727054,-0.562356
34678,0.03542,-0.0172377,-0.0197498
34679,0.34688,3.00975,2.31957
34680,0.390092,4.95101,3.66378
34681,-0.0056672,0.649366,0.431808
34682,-0.501075,-5.75764,-4.48516
34683,-0.206853,-2.01776,-1.6809
34684,-0.0399065,-0.839218,-0.633353
34685,-0.0092092,-1.07063,-0.705201
34686,0.0805214,0.888569,0.596984
34687,0.12704,0.440861,0.473862
34688,0.0883138,1.43002,0.947959
34689,0.0819382,1.68174,1.21993
34690,-0.153723,-2.30844,-1.76066
34691,-0.112163,1.04088,0.637641
34692,-0.324919,-3.46242,-2.67396
34693,-0.00306973,1.60854,1.02557
34694,0.58443,4.65301,3.68795
34695,-0.528939,-0.49588,-0.879048
34696,0.0280999,0.11972,0.162293
34697,0.15325,1.35139,0.995344
34698,0.373327,4.37437,3.41034
34699,0.171669,3.38757,2.20288
34700,0.592931,1.60878,1.80452
34701,-0.321377,-4.96659,-3.69477
34702,0.0644644,-0.628587,-0.412628
34703,0.185365,3.34695,2.36654
34704,0.0774517,0.451723,0.396843
34705,0.076271,1.35635,0.94849
34706,-0.0493519,-0.967202,-0.690199
34707,-0.215117,-4.70897,-3.23299
34708,0.0587972,0.502964,0.420769
34709,-0.125151,-1.06166,-0.987348
34710,-0.0408511,0.47085,0.25971
34711,0.083355,0.945005,0.665844
34712,0.341213,4.70566,3.51717
34713,-0.0710761,-1.26969,-0.979356
34714,0.200241,1.93511,1.62659
34715,-0.139555,-0.229994,-0.446922
34716,-0.78042,-8.01956,-6.38907
34717,-0.279582,-2.31529,-1.93427
34718,0.0767433,0.433068,0.428928
34719,-0.153014,-0.265886,-0.343202
34720,-0.386786,-5.59022,-4.19348
34721,0.195991,4.94085,3.52301
34722,0,0.0368368,0.0372321
34723,-0.177336,-2.25743,-1.84519
34724,-0.0724929,-2.01044,-1.36592
34725,-0.0297528,-1.9481,-1.2017
34726,-0.255732,-5.06364,-3.60791
34727,-0.922573,-7.65072,-6.01495
34728,0.108149,0.0935088,0.181377
34729,-0.205672,-2.72191,-2.0854
34730,0.202602,2.97292,2.27838
34731,-0.0528939,-0.0321141,-0.0659281
34732,0.182531,1.69071,1.38183
34733,0.188907,2.66594,1.89784
34734,-0.0953978,-0.046046,-0.126781
34735,-0.0944533,-0.893764,-0.735353
34736,-0.121372,-1.45104,-1.01229
34737,0.0892584,0.322322,0.217678
34738,0.0238495,1.11006,0.763697
34739,0.100121,1.68953,1.19178
34740,0.0767433,0.361756,0.317283
34741,0.0802853,2.63029,1.90554
34742,-0.406149,-4.38287,-3.37919
34743,0.630004,5.39305,4.31643
34744,0.060214,-0.299181,-0.202186
34745,0.00165293,0.519257,0.335319
34746,0.315474,4.34462,3.21347
34747,0.250774,5.628,4.11137
34748,-0.188907,-1.31644,-1.15273
34749,-0.208506,-3.15143,-2.39623
34750,-0.369076,-2.47255,-2.01496
34751,0.0160571,0.561053,0.46562
34752,0.139082,4.15902,2.86744
34753,0.0946894,1.69024,1.18172
34754,-0.0609224,-1.50559,-1.05051
34755,0.13554,2.95804,2.15495
34756,-0.195754,-2.88271,-1.95456
34757,0.0472267,0.84276,0.710157
34758,0.0578527,1.77407,1.10643
34759,-0.228341,-4.69504,-3.27766
34760,0.299181,5.19895,3.72761
34761,-0.0439208,-1.04489,-0.848147
34762,-0.141444,-1.19318,-0.919696
34763,0.161751,1.97171,1.46571
34764,-0.060214,0.0092092,-0.0747425
34765,0.245106,3.56042,2.72165
34766,-0.134124,-1.46662,-1.11514
34767,0.0828828,1.30629,0.951816
34768,-0.0698954,-1.59721,-1.1748
34769,0.19481,3.4492,2.49005
34770,0.209214,0.989871,0.894523
34771,0.377105,4.46575,3.39346
34772,-0.00448653,1.17571,0.955664
34773,-0.0788685,-1.02576,-0.934817
34774,0.140735,3.69903,2.62631
34775,0,0.0760349,0.0349141
34776,0.229049,2.55685,1.94918
34777,0.0472267,0.840871,0.639188
34778,-0.254316,1.32258,0.133444
34779,-0.18749,-2.25011,-1.65062
34780,0.217479,3.35593,2.41622
34781,-0.288791,-2.24067,-1.80356
34782,-0.183476,-2.20312,-1.95857
34783,-0.268011,-4.14697,-3.01834
34784,0.525397,6.27689,4.66483
34785,0.206853,3.1571,2.2097
34786,-0.193393,-2.37739,-1.91669
34787,-0.03542,0.492338,0.199256
34788,-0.0625753,-1.45623,-1.0366
34789,0.000472267,0.623864,0.483746
34790,0.12397,1.25552,0.861827
34791,-0.419373,-5.07687,-3.98193
34792,0.0493519,-0.786796,-0.420501
34793,-0.0750904,-0.592694,-0.444587
34794,0.0687148,0.301542,0.269043
34795,0.117358,1.64065,1.18209
34796,-0.227396,-5.76142,-4.08127
34797,-0.123262,-0.862831,-0.758883
34798,0.05313,0.900376,0.768994
34799,-0.0753265,-6.22424,-4.43337
34800,-0.160334,-1.13958,-1.01152
34801,-0.271553,-2.8506,-2.21988
34802,0.366479,3.22322,2.59727
34803,0.208978,2.67326,1.97535
34804,0.07084,1.02269,0.818068
34805,0.0703677,0.705566,0.510611
34806,-0.108621,-1.55376,-1.23116
34807,-0.0417956,0.677466,0.329639
34808,-0.885027,-4.70543,-4.09411
34809,-0.890931,-6.38079,-5.02827
34810,-0.132471,-1.20357,-1.1226
34811,-0.183003,-0.920211,-0.921218
34812,-0.0880777,-0.529883,-0.484838
34813,-0.257149,-2.20312,-1.73378
34814,-0.529411,-5.57156,-4.65528
34815,0.10626,0.352783,0.378329
34816,0.296583,5.44641,3.83969
34817,-0.307209,-3.09949,-2.36488
34818,0.334837,6.12057,4.42586
34819,0.375452,4.92456,3.6995
34820,-1.16343,-8.09748,-6.7784
34821,0.298945,3.30138,2.6804
34822,0.263289,3.70257,2.6751
34823,0.229285,2.49239,1.9867
34824,-0.0226688,0.639685,0.39844
34825,0.166474,1.26237,0.991121
34826,-0.922337,1.61586,0.00823005
34827,0.090439,1.07677,0.814314
34828,-0.37498,0.508867,-0.0508974
34829,-0.479823,-4.0197,-3.24921
34830,-0.03542,-0.529647,-0.45491
34831,0.42504,6.03958,4.57789
34832,0.083355,0.534606,0.317363
34833,-0.433541,-2.46074,-2.08879
34834,-0.142861,-1.46166,-1.20402
34835,-0.00613946,-0.0819382,-0.0967533
34836,0.305084,4.29078,3.11751
34837,0.0092092,-0.831189,-0.515726
34838,-0.19906,-1.50464,-1.33564
34839,0.007084,0.510992,0.298893
34840,0.0266831,0.438027,0.31836
34841,0.123262,1.34242,0.957976
34842,0.306501,4.50094,3.24126
34843,-0.0857164,-0.172613,-0.269763
34844,0.0500603,1.55305,1.04159
34845,0.221965,2.95214,2.25494
34846,0.255968,4.03363,2.87281
34847,-0.663062,-6.8821,-5.29805
34848,-0.165766,-2.07608,-1.73523
34849,-0.102718,-0.798839,-0.656538
34850,0.0876054,1.19578,0.947242
34851,0.665187,6.25659,4.69623
34852,0.384661,3.79183,2.83362
34853,0.460696,4.0478,3.23682
34854,-0.0077924,0.512881,0.316793
34855,-0.0278637,-1.26379,-0.966323
34856,-0.0455737,0.609224,0.507241
34857,0.03542,0.403316,0.286973
34858,-0.176864,-1.69567,-1.40728
34859,0.102718,1.22813,0.975394
34860,0.0049588,-1.49047,-1.12981
34861,-0.245579,-3.58993,-2.8113
34862,-0.254079,-1.82177,-1.54457
34863,-0.223382,-1.62672,-1.47911
34864,-0.237786,-2.90468,-2.17087
34865,-0.0772156,-1.09566,-0.97352
34866,0.0158209,-0.516423,-0.301128
34867,0.126804,2.90538,2.13232
34868,0.0224327,-1.45836,-0.908995
34869,-0.0597417,0.741222,0.510819
34870,0.309807,3.61284,2.7547
34871,-0.134832,-0.954451,-0.797254
34872,0.244398,2.59699,2.01045
34873,-0.207089,-3.10751,-2.33219
34874,-0.0505325,-1.31432,-0.905467
34875,-0.231647,-0.812062,-0.804641
34876,0.123734,1.6135,1.24164
34877,7.26936,20.0772,25.8098
34878,0.000236133,0.0280999,0.12869
34879,-0.0521855,-0.0698954,-0.10132
34880,-4.79492,-16.5782,-18.766
34881,0.610877,5.56991,4.43458
34882,0.000472267,1.09117,0.638356
34883,0.186545,2.04846,1.52663
34884,-0.165293,-2.0213,-1.49959
34885,-0.204255,0.21677,0.00401897
34886,-0.173086,-1.52377,-1.28655
34887,-0.0736736,-0.715956,-0.594953
34888,0.0554913,0.632837,0.477301
34889,-0.369785,-3.30232,-2.61311
34890,-0.204728,-2.21635,-1.82411
34891,-0.25951,-2.54764,-2.00279
34892,-0.471558,-3.59489,-2.95166
34893,0.545704,6.08799,4.61582
34894,-0.0984676,-1.27394,-1.09289
34895,0.049588,0.698718,0.531572
34896,-0.000472267,0.0186545,-0.00684429
34897,0.161043,1.63499,1.3554
34898,0.0635198,0.945005,0.651433
34899,0.118067,0.662826,0.532586
34900,-0.0788685,0.2418,0.0323751
34901,0.0701316,0.126095,0.142903
34902,0.126095,1.64467,1.35996
