sec,ofi_best,ofi_sum,ofi_integrated
34607,0.22246,4.12454,2.14565
34608,0.136257,4.43112,2.35119
34609,-0.0243315,-0.0417112,0.00776308
34610,-0.139037,-2.33722,-1.16763
34611,0.191872,1.04556,0.666219
34612,0.841176,9.32037,4.96853
34613,-0.882887,-13.8314,-7.30092
34614,0.0764706,-0.714652,-0.363831
34615,-0.523476,-7.61508,-3.89584
34616,-1.18043,-19.8128,-10.3542
34617,-0.0507486,2.06401,1.06245
34618,0.1877,2.63684,1.42694
34619,0.0118182,-0.847433,-0.39829
34620,-0.834224,-12.5912,-6.52182
34621,0.917647,11.5832,6.19861
34622,0.132086,-0.0417112,0.0299167
34623,-0.565187,-13.0382,-6.68225
34624,0.868984,15.7592,8.22342
34625,0.0437968,0.139037,0.121614
34626,0.0451871,1.57529,0.833289
34627,-0.0257219,0.834919,0.468509
34628,-0.0868984,-0.903743,-0.451584
34629,-0.100802,-0.267647,-0.135443
34630,-0.278075,-3.25486,-1.69683
34631,-1.00594,-10.1935,-5.32018
34632,0.052139,-2.60834,-1.2402
34633,-0.341337,-7.76037,-4.00735
34634,0,-3.80198,-1.88979
34635,-0.24123,-1.4731,-0.819393
34636,0.535989,10.968,5.76059
34637,-0.305882,-5.06861,-2.65687
34638,-0.300321,-4.55417,-2.36534
34639,0.130695,4.07032,2.18459
34640,-0.105668,0.903048,0.46523
34641,-0.177968,-6.1524,-3.11205
34642,-0.508182,-4.99005,-2.62498
34643,-0.0319786,-1.59823,-0.814518
34644,0.0424064,5.82497,3.03245
34645,-0.0173797,-0.435882,-0.187119
34646,0.145989,3.22428,1.71038
34647,-0.476203,-4.34422,-2.29603
34648,-0.0493583,-0.74246,-0.352957
34649,-0.0868984,-1.98893,-0.972584
34650,-0.379572,-8.85877,-4.52397
34651,-1.23118,-18.6268,-9.89955
34652,-0.383048,-6.14823,-3.21233
34653,-7.1347,-82.2086,-43.8016
34654,-0.324652,-19.6467,-10.073
34655,0.835615,1.14706,0.813015
34656,0.155722,-4.98379,-2.51908
34657,0.295454,-2.06471,-1.03346
34658,-0.345508,-8.87406,-4.59079
34659,-0.92877,-16.6379,-8.78279
34660,-0.61524,-12.4647,-6.53006
34661,0.0590909,8.1455,4.18553
34662,0.29893,1.66845,0.946371
34663,0.0910695,-1.67888,-0.813861
34664,0.22246,5.4454,2.85538
34665,-1.3869,-13.1592,-6.97531
34666,-0.908609,-5.1569,-2.87866
34667,-0.572139,0.478984,0.125297
34668,-0.676417,-7.36272,-3.85275
34669,-0.401123,-3.19855,-1.70289
34670,-0.367059,-4.4631,-2.45427
34671,-1.73727,-47.5953,-24.1447
34672,-4.80722,-17.956,-10.5676
34673,-1.18182,-10.7636,-5.84211
34674,-0.0653476,3.72064,1.88074
34675,-1.04695,-16.6282,-8.65951
34676,0.321872,2.97192,1.65553
34677,0.459519,3.99871,2.20934
34678,-0.10984,4.56112,2.32427
34679,0.728556,10.5863,5.56335
34680,-0.94893,-16.1617,-8.39835
34681,-0.602032,-9.79379,-5.10186
34682,-0.416417,3.75609,1.81239
34683,-0.255134,-3.07898,-1.55364
34684,-0.0132086,3.01503,1.55734
34685,0.0583957,3.5962,1.82894
34686,1.03722,17.5861,9.23528
34687,0.677112,8.81566,4.69505
34688,-0.0215508,0.667379,0.384049
34689,0.0729946,-1.5461,-0.736824
