session,symbol,ofi_variant,relation,r2_trade,r2_ofi,r2_both,incremental_trade,incremental_ofi,delta_trade,delta_ofi,n
AAPL_2024-06-03,AAPL,ofi_best,contemporaneous,0.38069941201968394,0.46431294782264254,0.4904009565444435,0.026088008721800948,0.10970154452475955,0.5,0.5,23346
AAPL_2024-06-03,AAPL,ofi_best,predictive,0.0036021840648646775,0.009637891262359588,0.008644053383287664,-0.0009938378790719238,0.005041869318422987,0.5,0.5,23346
AAPL_2024-06-03,AAPL,ofi_integrated,contemporaneous,0.38069941201968394,0.6975642012334499,0.6819645534213457,-0.015599647812104211,0.3012651414016617,0.5,0.5,23346
AAPL_2024-06-03,AAPL,ofi_integrated,predictive,0.0036021840648646775,0.004918531902021961,0.004618267796088316,-0.0003002641059336453,0.0010160837312236382,0.5,0.5,23346
AAPL_2024-08-01,AAPL,ofi_best,contemporaneous,0.43801690134160753,0.6693848461324271,0.6812073021487355,0.01182245601630838,0.24319040080712795,0.5,0.5,23398
AAPL_2024-08-01,AAPL,ofi_best,predictive,0.0007448746127286521,0.0033013026443986515,0.003501190515685315,0.00019988787128666363,0.002756315902956663,0.5,0.5,23398
AAPL_2024-08-01,AAPL,ofi_integrated,contemporaneous,0.43801690134160753,0.7607699256365233,0.7648164940514145,0.00404656841489115,0.32679959270980696,0.5,0.5,23398
AAPL_2024-08-01,AAPL,ofi_integrated,predictive,0.0007448746127286521,0.001797378147618378,0.0017900803046966285,-7.29784292174962e-06,0.0010452056919679764,0.5,0.5,23398
AAPL_2024-10-01,AAPL,ofi_best,contemporaneous,0.3027890033553249,0.523092482082055,0.5503371189836646,0.027244636901609498,0.24754811562833967,0.5,0.5,23399
AAPL_2024-10-01,AAPL,ofi_best,predictive,-0.0008029695884537169,-0.000935896414009818,-0.0007498986419656184,0.00018599777204419965,5.3070946488098514e-05,0.5,0.5,23399
AAPL_2024-10-01,AAPL,ofi_integrated,contemporaneous,0.3027890033553249,0.7330001659652976,0.7312248917831854,-0.0017752741821122076,0.4284358884278605,0.5,0.5,23399
AAPL_2024-10-01,AAPL,ofi_integrated,predictive,-0.0008029695884537169,-0.00016967740678297538,-0.00021240711116776723,-4.2729704384791845e-05,0.0005905624772859497,0.5,0.5,23399
