column,delta,r2_in,r2_out,session
signed_vol,0.5,0.43233621510952724,0.20692638178462308,INTC_2024-08-02
signed_vol,0.75,0.3513558464363403,-0.11810322390055283,INTC_2024-08-02
signed_vol,1.0,0.2210628471243432,-0.21481082618325198,INTC_2024-08-02
ofi_best,0.25,0.39441165822061197,-0.1738236372253159,INTC_2024-08-02
ofi_best,0.5,0.5640640054665056,-0.15999043947227398,INTC_2024-08-02
ofi_best,0.75,0.624953335023436,-0.3923315994643639,INTC_2024-08-02
ofi_best,1.0,0.5716086468187708,-0.746194789638897,INTC_2024-08-02
signed_vol,0.25,0.5235799653493767,0.5297270879458087,INTC_2024-02-01
signed_vol,0.5,0.46757786923753486,0.3632653720491792,INTC_2024-02-01
signed_vol,0.75,0.3593896515489907,0.18623366911300876,INTC_2024-02-01
signed_vol,1.0,0.2334081653981389,0.09518068183850625,INTC_2024-02-01
ofi_best,0.25,0.3773536619990919,0.18571378798548177,INTC_2024-02-01
ofi_best,0.5,0.5323112689346039,0.3671327520017834,INTC_2024-02-01
ofi_best,0.75,0.5930488180222284,0.34267994136404145,INTC_2024-02-01
ofi_best,1.0,0.579539757894626,0.12280769145073511,INTC_2024-02-01
signed_vol,0.25,0.5007687053166043,0.36866464054010206,INTC_2024-04-01
signed_vol,0.5,0.46049298509115844,0.023791762227476032,INTC_2024-04-01
signed_vol,0.75,0.2722978295415962,-0.22772397633748165,INTC_2024-04-01
signed_vol,1.0,0.0860752302696246,0.021982866351675012,INTC_2024-04-01
ofi_best,0.25,0.33674221329857723,0.13290035067960904,INTC_2024-04-01
ofi_best,0.5,0.5421731719665168,0.08970151322676456,INTC_2024-04-01
ofi_best,0.75,0.6369326594519257,-0.6119288156391158,INTC_2024-04-01
ofi_best,1.0,0.5739724941273332,-1.8961093182352804,INTC_2024-04-01
signed_vol,0.25,0.5409860259187194,0.46010418719446144,INTC_2024-10-01
signed_vol,0.5,0.4755508686111172,0.09887830413369247,INTC_2024-10-01
signed_vol,0.75,0.3486221971450658,-0.8980025767663748,INTC_2024-10-01
signed_vol,1.0,0.2029943305305577,-2.3286764574464733,INTC_2024-10-01
ofi_best,0.25,0.33339528839183774,0.2015466948654372,INTC_2024-10-01
ofi_best,0.5,0.5220982827199628,0.4786676152564274,INTC_2024-10-01
ofi_best,0.75,0.6283202857488178,0.5060889703542126,INTC_2024-10-01
ofi_best,1.0,0.6480060702884343,-0.21735925288497082,INTC_2024-10-01
signed_vol,0.25,0.429610753081786,0.3601098449758434,INTC_2024-12-02
signed_vol,0.5,0.43043651045376574,0.3274471550982496,INTC_2024-12-02
signed_vol,0.75,0.3011402053065315,0.246044249217515,INTC_2024-12-02
signed_vol,1.0,0.14721492058880603,0.165009216045368,INTC_2024-12-02
ofi_best,0.25,0.3367000035621355,0.36161132939754104,INTC_2024-12-02
ofi_best,0.5,0.5660927402026646,0.6022582578231611,INTC_2024-12-02
ofi_best,0.75,0.6327000552300037,0.6459357929277147,INTC_2024-12-02
ofi_best,1.0,0.5451806300019932,0.5607856782494334,INTC_2024-12-02
signed_vol,0.25,0.30770595011420854,0.30832558129337273,AAPL_2024-02-01
signed_vol,0.5,0.3270742254147905,0.16671448245520726,AAPL_2024-02-01
signed_vol,0.75,0.2445719470195311,0.033636874265617456,AAPL_2024-02-01
signed_vol,1.0,0.0952335176104353,0.13461882393038438,AAPL_2024-02-01
ofi_best,0.25,0.4641438802753598,0.3397420143218187,AAPL_2024-02-01
ofi_best,0.5,0.5678045849520832,0.34317452629314193,AAPL_2024-02-01
ofi_best,0.75,0.5810917050858151,-0.09721148978762284,AAPL_2024-02-01
ofi_best,1.0,0.44206822042627036,-1.0693962632793443,AAPL_2024-02-01
signed_vol,0.25,0.4433654819380315,0.4030577672526119,AAPL_2024-04-01
signed_vol,0.5,0.4269542346488816,0.2804037757793163,AAPL_2024-04-01
signed_vol,0.75,0.2521500965647685,0.3199712020626895,AAPL_2024-04-01
signed_vol,1.0,0.06441176896076317,0.23721736136135974,AAPL_2024-04-01
ofi_best,0.25,0.3897100797650914,0.23585204252367475,AAPL_2024-04-01
ofi_best,0.5,0.5585034983965736,0.32920360334026333,AAPL_2024-04-01
ofi_best,0.75,0.6262170000398405,0.12987652359883084,AAPL_2024-04-01
ofi_best,1.0,0.5207891186238602,-0.20376529187127157,AAPL_2024-04-01
signed_vol,0.25,0.4031594223610393,0.37841767191675724,AAPL_2024-06-03
