session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
MSFT_2024-04-01,sell,shares,211.9979391181143,46582,0.7083068203117058,0.0053747685344518945,1.657303587721795,0.3431202280765271,0.9991420359486938
MSFT_2024-04-01,sell,shares,251.0,23278,0.7582450546483858,0.005753709472025748,1.786093923789597,0.35943235567112763,0.9985843593153447
MSFT_2024-04-01,sell,shares,282.0,23258,0.7981873226056805,0.006056799092025509,1.8898839763347204,0.37101409693697696,0.9977263952640384
MSFT_2024-04-01,sell,shares,335.48698068101055,46431,0.8631829242442094,0.0065499982319276225,2.0631005077504097,0.3854724916745851,0.9959032216550127
MSFT_2024-04-01,sell,shares,398.0,23152,0.9373507684616824,0.007112798114601033,2.262845128291837,0.39795498079090064,0.9931791857921153
MSFT_2024-04-01,sell,shares,447.0,23080,0.9928435305925868,0.007533887878581778,2.416590202138487,0.4050394681334943,0.9900905152074128
MSFT_2024-04-01,sell,shares,501.0,22973,1.051265891801343,0.007977208004449014,2.5803938643724096,0.40950109460038336,0.9855004075329243
MSFT_2024-04-01,sell,shares,596.3098964073176,45370,1.1460096784554066,0.008696142100154866,2.8611294259017437,0.4128918020060844,0.9731457251941144
MSFT_2024-04-01,sell,shares,708.0,22242,1.2483222785864052,0.00947250980987147,3.1724988200911928,0.4105805119515329,0.9541418214576809
MSFT_2024-04-01,sell,shares,841.3835965719952,42357,1.349829604060153,0.010242766940436122,3.4915690181335637,0.39466478297501995,0.9085195830294711
MSFT_2024-04-01,sell,shares,1000.0,18819,1.4468269518300891,0.010978801491804292,3.7851712535062814,0.3749319441889043,0.7423748444940157
MSFT_2024-04-01,sell,shares,1353.2201821938393,42592,1.5263374062126591,0.011582142129110799,3.9929570466665494,0.401993709617088,0.02346269038266072
MSFT_2024-04-01,sell,x_over_adv,1.2583496928755343e-07,23311,0.4588714314938033,0.0034820047762160913,1.0000000000000402,0.23319716677692545,1.0
MSFT_2024-04-01,sell,x_over_adv,2.5166993857510685e-07,23311,0.4662300846826065,0.0035378436534948925,1.022698261323848,0.23455578084801,1.0
MSFT_2024-04-01,sell,x_over_adv,3.775049078626603e-07,23311,0.47005922725160837,0.0035668999245960864,1.0344349563817061,0.23648944285910614,1.0
MSFT_2024-04-01,sell,x_over_adv,5.662573617939904e-07,46622,0.47395035047463874,0.0035964265168342,1.0464138995494272,0.2383169730658382,1.0
MSFT_2024-04-01,sell,x_over_adv,7.550098157253206e-07,23311,0.47743628858113984,0.003622878486391155,1.0568798155452903,0.23971094728417722,1.0
MSFT_2024-04-01,sell,x_over_adv,8.80844785012874e-07,23311,0.47943721440168985,0.0036380618967885477,1.0628605499183874,0.24058234178595594,1.0
MSFT_2024-04-01,sell,x_over_adv,1.0066797543004274e-06,23311,0.48110883346463573,0.003650746464102409,1.0679131740808938,0.2413709118889773,1.0
MSFT_2024-04-01,sell,x_over_adv,1.1954322082317575e-06,46622,0.4831855568750519,0.0036665050412062585,1.0742276024046307,0.24241665153984515,1.0
MSFT_2024-04-01,sell,x_over_adv,1.3841846621630876e-06,23311,0.48530025406425675,0.003682551770655271,1.0805701548032343,0.24334434902311658,1.0
MSFT_2024-04-01,sell,x_over_adv,1.6358546007381942e-06,23311,0.48791742475618527,0.003702411365792414,1.0883427438601663,0.24454603574978767,1.0
MSFT_2024-04-01,sell,x_over_adv,1.8875245393133015e-06,46622,0.49003952191062494,0.003718514247602464,1.094601359966807,0.2456604418444948,1.0
MSFT_2024-04-01,sell,x_over_adv,2.2650294471759615e-06,23311,0.4928029977355458,0.0037394840342592785,1.1027281821574615,0.24714948020208072,1.0
MSFT_2024-04-01,sell,x_over_adv,2.5166993857510685e-06,23311,0.4943346716024584,0.0037511066704796966,1.107217651354439,0.24802855666601153,1.0
