session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
INTC_2024-12-02,sell,shares,12.0,46216,2.06587353784611,0.0066436818577689455,1.0010846000113562,0.2643465157913483,1.0
INTC_2024-12-02,sell,shares,15.0,46216,2.066138439843383,0.006644533761121754,1.001215179035077,0.26599745713203643,1.0
INTC_2024-12-02,sell,shares,19.0,46216,2.0663690025562214,0.006645275232119033,1.0013287846440813,0.26780416399559237,1.0
INTC_2024-12-02,sell,shares,23.5,46216,2.066672820596865,0.006646252286313161,1.0014786693313575,0.2694714059874304,1.0
INTC_2024-12-02,sell,shares,30.0,46216,2.0671505946023983,0.006647788768791166,1.001714580911978,0.2718156412847436,1.0
INTC_2024-12-02,sell,shares,37.5,46216,2.067796772442959,0.006649866824353414,1.0020326912139217,0.27458902696854304,1.0
INTC_2024-12-02,sell,shares,47.5,46216,2.068655898235083,0.006652629703268368,1.002454561190961,0.27854102949512705,1.0
INTC_2024-12-02,sell,shares,59.5,46216,2.0695478570122123,0.006655498170401971,1.0028925597126959,0.28316714920790936,1.0
INTC_2024-12-02,sell,shares,79.66666666666667,69324,2.0706791636500417,0.006659136360856337,1.003447751847676,0.28983229207409916,1.0
INTC_2024-12-02,sell,shares,106.0,46216,2.072279529162958,0.0066642830066355584,1.0042333823784007,0.29718478996459563,1.0
INTC_2024-12-02,sell,shares,133.5,46216,2.0749172870629513,0.006672765822250519,1.005529634366837,0.30601361125724846,1.0
INTC_2024-12-02,sell,shares,168.0,46216,2.0775566727308226,0.006681253872635042,1.006824872131338,0.3176003447614839,1.0
INTC_2024-12-02,sell,shares,212.0,46216,2.081438456501588,0.006693737374621569,1.0087241895200216,0.33165871889947846,1.0
INTC_2024-12-02,sell,shares,266.5,46216,2.0890297181951825,0.0067181502569531246,1.012423150000327,0.35322180168489,1.0
INTC_2024-12-02,sell,shares,335.5,46216,2.098877065129169,0.0067498185265610945,1.0172237557345054,0.38326099565175265,1.0
INTC_2024-12-02,sell,shares,422.5,46216,2.1123705607459007,0.006793212514810847,1.0238219611721981,0.42150074748838434,1.0
INTC_2024-12-02,sell,shares,531.5,46216,2.132323198345569,0.006857378580161468,1.0335811826025774,0.46970930846500514,1.0
INTC_2024-12-02,sell,shares,669.5,46216,2.160795037798277,0.006948941708186471,1.047508099834582,0.5314630412351435,1.0
