sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,441,11,44810.745244798,44812.06404086,219.16,219.155
1.0,396,8,44812.065164277,44812.066074933,219.15,219.165
-1.0,639,17,44812.282841858,44816.018741114,219.16,219.14
1.0,562,12,44817.167183214,44817.21161182,219.14,219.17
-1.0,100,2,44818.875199261,44818.875199261,219.17,219.17
1.0,301,5,44818.98532228,44819.507739851,219.17,219.17
-1.0,25,2,44824.703426571,44825.822756962,219.175,219.16
1.0,351,5,44826.531835615,44829.279345504,219.155,219.165
-1.0,300,6,44831.758573328,44832.391753675,219.165,219.125
1.0,42,3,44832.861237856,44832.861237856,219.12,219.125
-1.0,245,11,44833.361633602,44833.680074509,219.125,219.11
1.0,120,4,44834.107581884,44834.260918079,219.105,219.125
-1.0,300,2,44838.035971431,44838.035990908,219.115,219.11
1.0,79,4,44838.036341024,44840.912826238,219.105,219.115
-1.0,189,11,44841.448501192,44841.969132813,219.11,219.1
1.0,345,6,44842.220315038,44842.223326173,219.095,219.105
-1.0,1260,12,44842.227881756,44842.231956697,219.1,219.08
1.0,261,7,44842.50133925,44842.779923796,219.075,219.1
-1.0,206,7,44845.132237643,44845.852962339,219.095,219.07
1.0,20,1,44845.855568587,44845.855568587,219.065,219.07
-1.0,714,23,44845.855629743,44850.055858267,219.075,219.03
1.0,20,1,44850.640101691,44850.640101691,219.025,219.03
-1.0,316,3,44850.817355117,44850.817383478,219.025,219.02
1.0,20,1,44850.817815024,44850.817815024,219.02,219.02
-1.0,1032,15,44851.11384643,44853.77046347,219.025,219.025
1.0,1700,13,44854.09693855,44854.222530926,219.025,219.05
-1.0,331,5,44854.222790174,44854.229806256,219.055,219.05
1.0,400,3,44854.230231984,44854.230231984,219.05,219.055
-1.0,800,2,44854.233371203,44854.233822089,219.065,219.05
1.0,10,1,44854.233956547,44854.233956547,219.05,219.055
-1.0,590,2,44854.233978469,44854.234168991,219.065,219.055
1.0,235,4,44854.234774585,44854.234774585,219.05,219.055
-1.0,79,3,44854.235401176,44854.235672926,219.065,219.065
1.0,500,4,44854.238148759,44854.238148759,219.065,219.07
-1.0,850,5,44854.238187582,44854.647991436,219.075,219.07
1.0,145,4,44854.649313015,44854.649313015,219.065,219.07
-1.0,348,4,44854.649391863,44854.660997366,219.075,219.06
1.0,801,7,44855.695626367,44855.695655739,219.075,219.08
-1.0,14,1,44855.75877434,44855.75877434,219.085,219.085
1.0,179,7,44856.754490723,44857.10615913,219.065,219.085
-1.0,20,1,44857.673625069,44857.673625069,219.085,219.085
1.0,3,1,44858.987914972,44858.987914972,219.085,219.085
-1.0,717,5,44863.684262028,44863.874690824,219.085,219.075
1.0,116,4,44865.753601944,44865.774364218,219.075,219.095
-1.0,220,3,44865.782928266,44865.782928266,219.1,219.095
1.0,1177,18,44867.782413899,44868.574701737,219.085,219.15
-1.0,105,2,44869.731490218,44869.731490218,219.15,219.145
1.0,246,5,44872.558145375,44873.445850238,219.125,219.155
-1.0,110,2,44873.446195995,44873.446195995,219.16,219.155
1.0,243,6,44874.686924716,44877.807366771,219.13,219.14
-1.0,252,5,44877.960980168,44880.602627715,219.155,219.15
1.0,3,2,44880.839248458,44880.839268633,219.15,219.15
-1.0,147,3,44881.135929636,44881.135995297,219.15,219.145
1.0,78,1,44882.144772202,44882.144772202,219.14,219.145
-1.0,633,15,44882.308199328,44882.50125201,219.15,219.125
1.0,108,3,44882.562442712,44885.786211515,219.125,219.13
-1.0,522,5,44890.158892662,44890.158922702,219.12,219.11
1.0,441,4,44892.651779806,44892.652253976,219.125,219.135
-1.0,100,1,44892.654274333,44892.654274333,219.13,219.13
1.0,510,3,44893.327679443,44893.327679443,219.125,219.13
-1.0,535,6,44893.328398432,44893.328398432,219.13,219.13
