sec,signed_vol,mid
38767,0.0,431.34
38768,0.0,431.34
38769,-39.0,431.25
38770,0.0,431.25
38771,-180.0,431.25
38772,0.0,431.275
38773,1310.0,431.39
38774,0.0,431.395
38775,0.0,431.395
38776,0.0,431.405
38777,225.0,431.45
38778,0.0,431.45
38779,1109.0,431.53
38780,2950.0,431.61
38781,0.0,431.61
38782,0.0,431.605
38783,0.0,431.61
38784,0.0,431.605
38785,0.0,431.61
38786,0.0,431.605
38787,0.0,431.605
38788,-229.0,431.555
38789,0.0,431.55
38790,0.0,431.555
38791,0.0,431.555
38792,0.0,431.585
38793,3.0,431.605
38794,350.0,431.66
38795,151.0,431.77
38796,0.0,431.76
38797,0.0,431.76
38798,-210.0,431.745
38799,280.0,431.82
38800,-20.0,431.785
38801,0.0,431.77
38802,549.0,431.815
38803,-5.0,431.825
38804,0.0,431.83
38805,0.0,431.815
38806,0.0,431.815
38807,-821.0,431.815
38808,0.0,431.815
38809,-187.0,431.775
38810,75.0,431.785
38811,0.0,431.79
38812,0.0,431.79
38813,0.0,431.82
38814,-545.0,431.75
38815,0.0,431.785
38816,0.0,431.795
38817,0.0,431.785
38818,0.0,431.785
38819,-75.0,431.75
38820,0.0,431.75
38821,0.0,431.755
38822,0.0,431.76
38823,3.0,431.765
38824,634.0,431.82
38825,0.0,431.825
38826,0.0,431.825
38827,-272.0,431.84
38828,419.0,431.905
38829,0.0,431.895
38830,0.0,431.9
38831,21681.0,432.08
38832,26.0,432.13
38833,-221.0,432.075
38834,34.0,432.14
38835,296.0,432.27
38836,329.0,432.35
38837,-107.0,432.29
38838,0.0,432.29
38839,-100.0,432.295
38840,-3.0,432.295
38841,68.0,432.32
38842,-1102.0,432.315
38843,-5.0,432.31
38844,299.0,432.395
38845,-10.0,432.39
38846,0.0,432.39
38847,100.0,432.39
38848,0.0,432.39
38849,130.0,432.42
38850,-105.0,432.39
38851,43.0,432.43
38852,-4.0,432.435
38853,507.0,432.435
38854,0.0,432.435
38855,0.0,432.415
38856,0.0,432.42
38857,0.0,432.42
38858,-54.0,432.385
38859,-120.0,432.365
38860,16.0,432.38
38861,0.0,432.415
38862,0.0,432.415
38863,0.0,432.39
38864,0.0,432.405
38865,-76.0,432.42
38866,17.0,432.42
38867,0.0,432.42
38868,-177.0,432.365
38869,0.0,432.365
38870,-63.0,432.35
38871,-513.0,432.27
38872,119.0,432.335
38873,101.0,432.39
38874,95.0,432.41
38875,0.0,432.41
38876,0.0,432.41
38877,0.0,432.41
38878,2.0,432.41
38879,33.0,432.425
38880,-25.0,432.39
38881,-10.0,432.385
38882,526.0,432.455
38883,470.0,432.465
38884,14.0,432.47
38885,100.0,432.52
38886,5.0,432.54
38887,25.0,432.545
38888,704.0,432.59
38889,-1.0,432.595
38890,-2.0,432.585
38891,-121.0,432.565
38892,23.0,432.57
38893,55.0,432.57
38894,-6.0,432.59
38895,585.0,432.575
38896,138.0,432.57
38897,0.0,432.595
38898,-70.0,432.545
38899,337.0,432.66
38900,-148.0,432.66
38901,0.0,432.64
38902,40.0,432.665
38903,709.0,432.66
38904,0.0,432.68
38905,0.0,432.68
38906,-1.0,432.66
38907,-113.0,432.65
38908,-1.0,432.65
38909,698.0,432.72
38910,-10.0,432.71
38911,-214.0,432.685
38912,60.0,432.685
38913,-2.0,432.665
38914,-115.0,432.655
38915,-1097.0,432.475
38916,0.0,432.475
38917,0.0,432.48
38918,-1.0,432.47
38919,0.0,432.485
38920,-8.0,432.49
38921,0.0,432.49
38922,24.0,432.495
38923,-1.0,432.495
38924,-31.0,432.465
38925,-417.0,432.44
38926,0.0,432.44
38927,0.0,432.44
38928,0.0,432.45
38929,155.0,432.45
38930,1528.0,432.53
38931,-100.0,432.49
38932,0.0,432.49
38933,1502.0,432.55
38934,0.0,432.53
38935,0.0,432.535
38936,0.0,432.535
38937,0.0,432.52
38938,0.0,432.515
38939,-1.0,432.46
38940,-1043.0,432.4
38941,-20.0,432.385
38942,0.0,432.39
38943,0.0,432.405
38944,2.0,432.39
38945,0.0,432.385
38946,0.0,432.385
38947,-336.0,432.345
38948,0.0,432.35
38949,-117.0,432.295
38950,0.0,432.3
38951,-229.0,432.27
38952,0.0,432.27
38953,6015.0,432.38
38954,434.0,432.4
38955,5.0,432.41
38956,0.0,432.41
38957,0.0,432.41
38958,-842.0,432.335
38959,-30.0,432.325
38960,-129.0,432.285
38961,0.0,432.285
38962,0.0,432.285
38963,-8.0,432.295
38964,0.0,432.295
38965,0.0,432.295
38966,0.0,432.29
38967,0.0,432.29
38968,-32.0,432.28
38969,0.0,432.28
38970,-271.0,432.17
38971,-5.0,432.17
38972,0.0,432.18
38973,0.0,432.18
38974,0.0,432.18
38975,251.0,432.225
38976,-30.0,432.195
38977,0.0,432.2
38978,0.0,432.2
38979,0.0,432.175
38980,40.0,432.2
38981,275.0,432.32
38982,0.0,432.32
38983,100.0,432.365
38984,0.0,432.365
38985,0.0,432.36
38986,-1.0,432.34
38987,0.0,432.365
38988,-25.0,432.36
38989,0.0,432.36
38990,107.0,432.37
38991,-96.0,432.37
38992,-13.0,432.375
38993,0.0,432.375
38994,0.0,432.375
38995,0.0,432.37
38996,123.0,432.375
38997,0.0,432.365
38998,0.0,432.36
38999,0.0,432.36
39000,-253.0,432.305
39001,-410.0,432.31
39002,0.0,432.31
39003,0.0,432.3
39004,-600.0,432.245
39005,-100.0,432.23
39006,-51.0,432.185
39007,0.0,432.185
39008,0.0,432.18
39009,0.0,432.18
39010,0.0,432.165
39011,0.0,432.165
39012,222.0,432.245
39013,-21.0,432.22
39014,0.0,432.23
39015,-23.0,432.19
39016,28.0,432.185
39017,-3.0,432.165
39018,-242.0,432.06
39019,-10.0,432.06
39020,-451.0,431.98
39021,0.0,431.975
39022,-236.0,431.79
39023,0.0,431.79
39024,0.0,431.78
39025,-8.0,431.78
39026,0.0,431.79
