sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,154,6,56066.11065432,56066.118540565,411.95,411.93
1.0,65,3,56071.082193242,56071.380033374,411.96,411.94
-1.0,139,11,56071.538192384,56071.807211404,411.96,411.89
1.0,27,2,56076.818949851,56076.818949851,411.9,411.9
-1.0,218,5,56076.819103017,56079.524967665,411.9,411.895
1.0,72,6,56080.42520312,56081.800344067,411.895,411.96
-1.0,9,1,56087.46918063,56087.46918063,411.945,411.945
1.0,97,5,56089.197264253,56089.799931809,411.95,411.97
-1.0,224,7,56093.26332538,56093.263535549,411.985,411.955
1.0,17,2,56094.509343351,56094.509343351,411.96,411.96
-1.0,108,3,56095.277746537,56095.277766938,411.965,411.96
1.0,42,4,56095.425456136,56096.083226717,411.96,411.96
-1.0,200,5,56096.535950496,56097.320689734,411.985,411.98
1.0,20,2,56097.321038779,56097.321038779,411.975,411.965
-1.0,3,1,56097.322639528,56097.322639528,411.98,411.98
1.0,22,3,56098.43010821,56098.983367713,411.985,411.995
-1.0,218,5,56100.164318133,56100.164329766,412.01,412.01
1.0,8,1,56100.686767484,56100.686767484,411.985,411.975
-1.0,264,8,56101.010376309,56101.350719225,411.98,411.935
1.0,41,3,56101.689823268,56103.560443878,411.95,411.945
-1.0,187,13,56107.712811477,56109.026991974,411.94,411.915
1.0,110,5,56109.119922375,56109.120852787,411.92,411.93
-1.0,288,17,56109.799522245,56115.02418594,411.945,411.86
1.0,65,7,56115.238749526,56116.272529472,411.855,411.88
-1.0,8,1,56118.315344398,56118.315344398,411.87,411.87
1.0,24,2,56123.052278349,56123.052278349,411.875,411.875
-1.0,19,4,56132.368684388,56132.368684388,411.91,411.905
1.0,145,8,56132.376736942,56138.7745335,411.905,411.94
-1.0,14,2,56144.678082679,56144.678082679,411.94,411.945
1.0,291,8,56146.039757492,56149.842680547,411.94,411.945
-1.0,9,1,56150.108775199,56150.108775199,411.945,411.945
1.0,904,21,56151.545539046,56154.000856572,411.955,411.95
-1.0,8,1,56154.1208731,56154.1208731,411.945,411.945
1.0,277,4,56155.698006961,56155.985479504,411.945,411.945
-1.0,20,1,56155.992165803,56155.992165803,411.95,411.95
1.0,1726,43,56157.072942917,56159.518311894,411.945,412.06
-1.0,151,3,56160.129110187,56160.129110187,412.06,412.05
1.0,35,2,56160.406444583,56160.406444583,412.045,412.045
-1.0,355,11,56160.749918746,56163.246952676,412.045,411.99
1.0,1,1,56167.645393509,56167.645393509,412.035,412.035
-1.0,8,1,56168.917666071,56168.917666071,412.02,412.02
1.0,16,2,56177.134273175,56183.1695196,412.03,412.05
-1.0,904,53,56184.709407668,56194.108344465,412.05,411.905
1.0,1,1,56194.531942219,56194.531942219,411.915,411.915
-1.0,95,13,56195.795255795,56197.293462762,411.91,411.87
1.0,30,4,56197.381428778,56202.451322557,411.87,411.895
-1.0,111,3,56202.519777053,56202.899318286,411.915,411.895
1.0,194,7,56206.469039654,56209.815325454,411.9,411.91
-1.0,9,1,56214.093730928,56214.093730928,411.91,411.91
1.0,113,5,56216.393134587,56218.740756285,411.91,411.93
-1.0,9,1,56219.018044864,56219.018044864,411.93,411.93
1.0,9,2,56220.252928948,56221.791806909,411.92,411.925
-1.0,4,1,56223.16652337,56223.16652337,411.925,411.925
1.0,861,34,56224.296363004,56238.061551423,411.925,412.085
-1.0,170,8,56238.124371684,56238.133546686,412.085,412.05
1.0,10,2,56239.777796304,56240.010145136,412.04,412.055
-1.0,378,11,56242.883219823,56244.723966646,412.03,411.985
1.0,68,2,56244.726094554,56244.823597128,411.985,411.995
-1.0,21,4,56244.860597033,56245.215740249,411.985,411.955
1.0,42,8,56246.493326036,56251.007858735,411.97,412.015
-1.0,105,9,56255.966378176,56258.430365927,412.01,411.975
1.0,160,3,56258.52130462,56258.52130462,411.985,411.98
-1.0,105,8,56260.233220255,56263.437254852,411.985,411.97
1.0,15,1,56265.864602592,56265.864602592,411.98,411.97
-1.0,261,15,56272.416632476,56274.344728933,411.945,411.9
1.0,13,2,56274.693180279,56274.769863723,411.9,411.905
-1.0,144,8,56277.564146513,56278.405946496,411.9,411.885
1.0,30,2,56280.354144929,56280.354144929,411.895,411.88
-1.0,27,3,56280.408733956,56284.004421258,411.905,411.875
1.0,119,2,56288.229614014,56288.229614014,411.905,411.9
-1.0,1,1,56288.698639568,56288.698639568,411.92,411.92
1.0,36,4,56289.895996466,56293.453210807,411.925,411.925
-1.0,95,3,56297.258571377,56297.260107948,411.93,411.93
1.0,43,4,56300.636996638,56303.899589194,411.92,411.93
-1.0,164,4,56304.467571993,56304.467571993,411.93,411.935
1.0,10,1,56304.573780813,56304.573780813,411.925,411.925
-1.0,327,21,56305.71124426,56314.154233543,411.92,411.835
1.0,100,2,56315.987347055,56315.987365144,411.825,411.835
-1.0,1023,39,56318.688729219,56325.283970992,411.825,411.7
1.0,1,1,56326.039387045,56326.039387045,411.7,411.7
-1.0,385,6,56326.053793586,56326.087190146,411.7,411.69
1.0,16,1,56326.131229374,56326.131229374,411.685,411.685
-1.0,110,2,56326.146882619,56326.146882619,411.695,411.7
1.0,9,1,56326.202225569,56326.202225569,411.685,411.695
-1.0,133,12,56328.431537315,56331.257594079,411.68,411.62
1.0,100,2,56331.257897993,56331.257897993,411.62,411.625
-1.0,182,4,56331.686355191,56331.686355191,411.67,411.665
1.0,10,1,56331.687301748,56331.687301748,411.66,411.66
-1.0,66,3,56333.832205721,56339.212668728,411.65,411.64
1.0,1485,28,56339.826787665,56340.205061751,411.645,411.67
-1.0,150,3,56340.233710569,56340.233710569,411.665,411.645
1.0,331,9,56342.581291464,56342.582090914,411.645,411.66
-1.0,805,28,56342.89143193,56348.819607579,411.665,411.57
1.0,16,4,56349.752445161,56350.663821099,411.57,411.595
-1.0,129,3,56352.134702053,56352.134760763,411.6,411.595
1.0,225,4,56353.397172032,56353.397193473,411.595,411.595
-1.0,177,7,56356.909262149,56356.965123623,411.61,411.565
1.0,47,5,56360.357159164,56360.602863534,411.605,411.605
-1.0,2126,3,56361.525601736,56361.525627608,411.605,411.605
1.0,186,6,56361.740768251,56361.743808211,411.595,411.61
-1.0,794,6,56362.414655051,56362.430730667,411.57,411.54
1.0,145,2,56362.430815165,56366.930932778,411.535,411.565
-1.0,311,20,56367.633823027,56370.650165608,411.535,411.45
1.0,421,12,56371.870233509,56377.830897737,411.465,411.53
-1.0,13,3,56378.614009359,56378.6205961,411.525,411.5
1.0,8,1,56379.171747882,56379.171747882,411.495,411.5
-1.0,295,14,56380.591562404,56380.839843853,411.505,411.44
1.0,23,2,56384.024447558,56386.803773368,411.445,411.465
-1.0,2,2,56388.993395998,56388.993395998,411.475,411.475
1.0,162,9,56393.230053204,56393.745655846,411.485,411.505
