sec,signed_vol,mid
34692,-19514.0,24.605
34693,681.0,24.615
34694,-1085.0,24.595
34695,810.0,24.595
34696,-3728.0,24.575
34697,-3905.0,24.575
34698,-7791.0,24.545
34699,-390.0,24.535
34700,-2211.0,24.525
34701,1202.0,24.525
34702,2695.0,24.535
34703,-804.0,24.535
34704,-1403.0,24.525
34705,906.0,24.535
34706,-1531.0,24.525
34707,0.0,24.525
34708,1813.0,24.535
34709,4026.0,24.575
34710,1225.0,24.605
34711,5.0,24.605
34712,616.0,24.605
34713,159.0,24.615
34714,0.0,24.615
34715,-1515.0,24.605
34716,-1489.0,24.555
34717,-1.0,24.545
34718,933.0,24.545
34719,-249.0,24.545
34720,1380.0,24.555
34721,0.0,24.555
34722,0.0,24.555
34723,0.0,24.555
34724,0.0,24.555
34725,-419.0,24.555
34726,0.0,24.555
34727,-244.0,24.555
34728,1177.0,24.565
34729,560.0,24.565
34730,3956.0,24.57
34731,2420.0,24.585
34732,0.0,24.585
34733,1957.0,24.59
34734,-64.0,24.585
34735,-244.0,24.585
34736,2284.0,24.585
34737,1931.0,24.585
34738,367.0,24.585
34739,0.0,24.585
34740,461.0,24.595
34741,5413.0,24.615
34742,2408.0,24.615
34743,0.0,24.615
34744,32.0,24.615
34745,-4425.0,24.605
34746,-1666.0,24.57
34747,136.0,24.565
34748,-10401.0,24.505
34749,-2736.0,24.485
34750,178.0,24.485
34751,4676.0,24.515
34752,135.0,24.51
34753,-937.0,24.505
34754,-34.0,24.515
34755,94.0,24.515
34756,0.0,24.515
34757,1530.0,24.515
34758,300.0,24.53
34759,-739.0,24.545
34760,500.0,24.555
34761,0.0,24.555
34762,-550.0,24.555
34763,0.0,24.555
34764,432.0,24.565
34765,629.0,24.565
34766,693.0,24.575
34767,-200.0,24.565
34768,-200.0,24.565
34769,0.0,24.565
34770,-943.0,24.555
34771,0.0,24.555
34772,-258.0,24.545
34773,202.0,24.555
34774,-382.0,24.55
34775,-385.0,24.545
34776,-3123.0,24.525
34777,0.0,24.525
34778,-142.0,24.525
34779,0.0,24.525
34780,262.0,24.535
34781,939.0,24.545
34782,110.0,24.55
34783,0.0,24.55
34784,0.0,24.555
34785,1341.0,24.565
34786,0.0,24.565
34787,-453.0,24.565
34788,0.0,24.565
34789,149.0,24.565
34790,0.0,24.565
34791,3016.0,24.585
34792,0.0,24.585
34793,0.0,24.585
34794,0.0,24.585
34795,-1518.0,24.555
34796,287.0,24.565
34797,100.0,24.565
34798,0.0,24.565
34799,0.0,24.565
34800,600.0,24.565
34801,0.0,24.565
34802,0.0,24.565
34803,-596.0,24.555
34804,0.0,24.555
34805,0.0,24.555
34806,-1684.0,24.535
34807,-2027.0,24.505
34808,-5283.0,24.495
34809,1620.0,24.505
34810,415.0,24.505
34811,-415.0,24.475
34812,-998.0,24.475
34813,-836.0,24.465
34814,226.0,24.475
34815,1269.0,24.475
34816,400.0,24.475
34817,-181.0,24.475
34818,1274.0,24.475
34819,724.0,24.485
34820,0.0,24.485
34821,-1985.0,24.47
34822,-1739.0,24.455
34823,1391.0,24.455
34824,0.0,24.455
34825,0.0,24.455
34826,-6870.0,24.445
34827,0.0,24.445
34828,679.0,24.455
34829,-1.0,24.455
34830,800.0,24.465
34831,1460.0,24.47
34832,0.0,24.475
34833,0.0,24.475
34834,-82.0,24.475
34835,400.0,24.485
34836,-949.0,24.455
34837,-56.0,24.465
34838,0.0,24.465
34839,0.0,24.465
34840,2.0,24.465
34841,198.0,24.465
34842,0.0,24.465
34843,246.0,24.465
34844,251.0,24.465
34845,0.0,24.465
34846,3638.0,24.525
34847,-900.0,24.51
34848,-1.0,24.505
34849,194.0,24.515
34850,-109.0,24.515
34851,0.0,24.515
34852,305.0,24.535
34853,0.0,24.535
34854,0.0,24.535
34855,0.0,24.535
34856,-963.0,24.525
34857,300.0,24.535
34858,-9.0,24.535
34859,1423.0,24.535
34860,-938.0,24.525
34861,15.0,24.525
34862,-3.0,24.525
34863,0.0,24.525
34864,0.0,24.53
34865,0.0,24.535
34866,0.0,24.545
34867,0.0,24.545
34868,0.0,24.545
34869,1239.0,24.565
34870,1002.0,24.585
34871,3522.0,24.605
34872,247.0,24.605
34873,0.0,24.605
34874,1200.0,24.605
34875,100.0,24.605
34876,195.0,24.605
34877,0.0,24.605
34878,-803.0,24.595
34879,505.0,24.605
34880,-394.0,24.615
34881,0.0,24.615
34882,100.0,24.615
34883,200.0,24.615
34884,300.0,24.615
34885,-185.0,24.605
34886,0.0,24.605
34887,0.0,24.605
34888,-1826.0,24.575
34889,0.0,24.565
34890,0.0,24.565
34891,0.0,24.565
34892,0.0,24.565
34893,0.0,24.565
34894,-759.0,24.555
34895,0.0,24.555
34896,0.0,24.555
34897,0.0,24.555
34898,0.0,24.555
34899,0.0,24.555
34900,400.0,24.555
34901,431.0,24.565
34902,0.0,24.565
34903,0.0,24.565
34904,-768.0,24.56
34905,-2239.0,24.545
34906,-300.0,24.535
34907,0.0,24.535
34908,0.0,24.535
34909,0.0,24.535
34910,300.0,24.535
34911,0.0,24.535
34912,0.0,24.535
34913,0.0,24.535
34914,0.0,24.535
34915,0.0,24.535
34916,0.0,24.535
34917,-590.0,24.535
34918,-225.0,24.535
34919,0.0,24.535
34920,0.0,24.535
34921,-700.0,24.525
34922,0.0,24.525
34923,-100.0,24.525
34924,-306.0,24.515
34925,-273.0,24.51
34926,0.0,24.515
34927,0.0,24.515
34928,0.0,24.515
34929,-128.0,24.505
34930,0.0,24.505
34931,-500.0,24.505
34932,-511.0,24.505
34933,-460.0,24.505
34934,0.0,24.505
34935,0.0,24.505
34936,0.0,24.505
34937,0.0,24.505
34938,0.0,24.505
34939,2357.0,24.505
34940,-200.0,24.505
34941,-1390.0,24.505
34942,1126.0,24.515
34943,0.0,24.515
34944,-990.0,24.505
34945,204.0,24.515
34946,0.0,24.51
34947,0.0,24.51
34948,0.0,24.515
34949,-100.0,24.515
34950,0.0,24.515
34951,1931.0,24.535
34952,0.0,24.535
34953,-300.0,24.535
34954,-1600.0,24.535
34955,96.0,24.535
34956,100.0,24.535
34957,103.0,24.535
34958,612.0,24.545
34959,0.0,24.545
34960,100.0,24.545
34961,900.0,24.575
34962,-96.0,24.555
34963,-136.0,24.535
34964,0.0,24.535
34965,0.0,24.535
34966,400.0,24.545
34967,0.0,24.545
34968,1770.0,24.565
34969,-800.0,24.555
34970,0.0,24.56
34971,0.0,24.565
34972,0.0,24.565
34973,0.0,24.565
34974,953.0,24.565
34975,0.0,24.565
34976,0.0,24.565
34977,1248.0,24.585
34978,1137.0,24.595
34979,0.0,24.595
34980,0.0,24.595
34981,-100.0,24.585
34982,0.0,24.585
34983,0.0,24.585
34984,-430.0,24.575
34985,-1603.0,24.545
34986,700.0,24.565
34987,-1078.0,24.555
34988,0.0,24.555
34989,0.0,24.555
34990,0.0,24.555
34991,0.0,24.555
34992,0.0,24.555
34993,0.0,24.555
34994,100.0,24.555
34995,0.0,24.555
34996,-1870.0,24.545
34997,-170.0,24.545
34998,0.0,24.545
34999,0.0,24.545
35000,0.0,24.545
35001,0.0,24.545
35002,0.0,24.545
35003,0.0,24.545
35004,0.0,24.545
35005,0.0,24.545
35006,0.0,24.545
35007,0.0,24.545
35008,0.0,24.545
35009,0.0,24.545
35010,-1810.0,24.525
35011,0.0,24.525
35012,0.0,24.525
35013,3527.0,24.565
35014,0.0,24.565
35015,300.0,24.565
35016,0.0,24.565
35017,0.0,24.565
35018,470.0,24.565
35019,0.0,24.565
35020,0.0,24.565
35021,0.0,24.565
35022,0.0,24.565
35023,167.0,24.565
35024,0.0,24.565
35025,0.0,24.565
35026,0.0,24.565
35027,33.0,24.565
35028,-10.0,24.565
35029,0.0,24.565
35030,0.0,24.565
35031,5198.0,24.605
35032,-930.0,24.595
35033,0.0,24.595
35034,-159.0,24.605
35035,-1031.0,24.575
35036,0.0,24.575
35037,0.0,24.575
35038,0.0,24.575
35039,-100.0,24.575
35040,0.0,24.575
35041,-2305.0,24.565
35042,-2190.0,24.535
35043,-734.0,24.525
35044,0.0,24.525
35045,0.0,24.525
35046,0.0,24.525
35047,-100.0,24.525
35048,2005.0,24.535
35049,2.0,24.535
35050,0.0,24.535
35051,0.0,24.535
35052,0.0,24.535
35053,0.0,24.535
35054,-2205.0,24.515
35055,0.0,24.515
35056,1906.0,24.525
35057,0.0,24.525
35058,-700.0,24.525
35059,0.0,24.525
35060,0.0,24.525
35061,733.0,24.535
35062,0.0,24.535
35063,370.0,24.545
35064,404.0,24.545
35065,200.0,24.545
35066,0.0,24.545
35067,2652.0,24.55
35068,0.0,24.555
35069,-1053.0,24.545
35070,0.0,24.545
35071,0.0,24.545
35072,1769.0,24.565
35073,500.0,24.575
35074,2605.0,24.575
35075,0.0,24.575
35076,0.0,24.575
35077,0.0,24.575
35078,-400.0,24.575
35079,0.0,24.575
35080,0.0,24.575
35081,63.0,24.58
35082,100.0,24.585
35083,580.0,24.595
35084,500.0,24.595
35085,0.0,24.595
