sec,signed_vol,mid
34571,199.0,223.2
34572,-2472.0,223.085
34573,120.0,223.1
34574,131.0,223.12
34575,-692.0,223.085
34576,-2590.0,223.07
34577,147.0,223.085
34578,100.0,223.08
34579,238.0,223.105
34580,388.0,223.165
34581,0.0,223.165
34582,-2150.0,222.925
34583,-1412.0,222.82
34584,1396.0,222.865
34585,-123.0,222.82
34586,-539.0,222.745
34587,2114.0,222.77
34588,-53.0,222.73
34589,380.0,222.735
34590,135.0,222.78
34591,-47.0,222.775
34592,-1561.0,222.72
34593,8749.0,222.745
34594,-627.0,222.775
34595,-551.0,222.76
34596,-487.0,222.725
34597,-391.0,222.67
34598,-1255.0,222.625
34599,-63.0,222.595
34600,221.0,222.605
34601,445.0,222.585
34602,13.0,222.585
34603,-171.0,222.605
34604,-305.0,222.575
34605,-178.0,222.58
34606,412.0,222.59
34607,237.0,222.61
34608,-493.0,222.56
34609,2329.0,222.66
34610,993.0,222.67
34611,544.0,222.71
34612,240.0,222.745
34613,588.0,222.785
34614,944.0,222.875
34615,49.0,222.92
34616,1308.0,223.03
34617,-5925.0,222.915
34618,2426.0,223.02
34619,-1397.0,223.01
34620,-419.0,223.03
34621,-1262.0,222.965
34622,409.0,222.88
34623,-50.0,222.885
34624,162.0,222.885
34625,-368.0,222.85
34626,15.0,222.765
34627,0.0,222.765
34628,325.0,222.78
34629,432.0,222.805
34630,329.0,222.8
34631,312.0,222.825
34632,482.0,222.81
34633,-1006.0,222.74
34634,-293.0,222.7
34635,173.0,222.69
34636,70.0,222.69
34637,-145.0,222.635
34638,428.0,222.64
34639,214.0,222.66
34640,-40.0,222.645
34641,618.0,222.71
34642,88.0,222.7
34643,794.0,222.705
34644,-229.0,222.64
34645,523.0,222.66
34646,-316.0,222.615
34647,805.0,222.66
34648,0.0,222.66
34649,135.0,222.695
34650,1472.0,222.815
34651,0.0,222.765
34652,0.0,222.77
34653,0.0,222.775
34654,502.0,222.81
34655,601.0,222.82
34656,200.0,222.845
34657,83.0,222.875
34658,290.0,222.89
34659,212.0,222.885
34660,-191.0,222.88
34661,-2258.0,222.87
34662,562.0,222.925
34663,0.0,222.93
34664,-46.0,222.93
34665,152.0,222.96
34666,523.0,223.045
34667,-11.0,223.06
34668,-4.0,223.045
34669,0.0,223.045
34670,710.0,223.125
34671,672.0,223.21
34672,280.0,223.2
34673,0.0,223.2
34674,206.0,223.2
34675,0.0,223.2
34676,236.0,223.225
34677,-393.0,223.21
34678,-2152.0,223.175
34679,1080.0,223.195
34680,0.0,223.195
34681,489.0,223.245
34682,176.0,223.26
34683,1456.0,223.33
34684,-200.0,223.24
34685,-3073.0,223.17
34686,208.0,223.185
34687,-53.0,223.17
34688,717.0,223.175
34689,0.0,223.175
34690,-813.0,223.12
34691,-1030.0,222.995
34692,397.0,223.0
34693,-131.0,222.965
34694,-126.0,222.955
34695,-299.0,222.88
34696,-142.0,222.86
34697,600.0,222.905
34698,0.0,222.905
34699,427.0,222.915
34700,20.0,222.915
34701,0.0,222.92
34702,745.0,222.94
34703,-1022.0,222.9
34704,30.0,222.9
34705,-210.0,222.885
34706,-464.0,222.875
34707,100.0,222.885
34708,-300.0,222.87
34709,-777.0,222.805
34710,1113.0,222.875
34711,219.0,222.96
34712,60.0,222.95
34713,-199.0,222.925
34714,-25.0,222.91
34715,1426.0,222.97
34716,62.0,222.955
34717,-1501.0,222.91
34718,712.0,222.91
34719,888.0,222.965
34720,172.0,222.945
34721,-372.0,222.915
34722,140.0,222.915
34723,610.0,222.97
34724,-9.0,222.945
34725,43.0,222.93
34726,-1452.0,222.87
34727,203.0,222.87
34728,320.0,222.935
34729,57.0,222.9
34730,-5.0,222.855
34731,-1001.0,222.845
34732,-1424.0,222.835
34733,223.0,222.865
34734,-1.0,222.855
34735,-201.0,222.825
34736,-88.0,222.81
34737,-960.0,222.805
34738,21.0,222.85
34739,441.0,222.88
34740,404.0,222.9
34741,404.0,222.915
34742,730.0,222.96
34743,642.0,223.005
34744,-63.0,222.995
34745,36.0,222.98
34746,460.0,223.005
34747,-149.0,222.995
34748,44.0,223.035
34749,64.0,223.095
34750,0.0,223.02
34751,-322.0,222.95
34752,-655.0,222.905
34753,451.0,222.94
34754,0.0,222.95
34755,-53.0,222.945
34756,0.0,222.94
34757,546.0,222.985
34758,50.0,222.99
34759,532.0,223.005
34760,129.0,223.075
34761,-105.0,223.06
34762,197.0,223.065
34763,162.0,223.07
34764,0.0,223.065
34765,350.0,223.07
34766,869.0,223.085
34767,11.0,223.085
34768,0.0,223.085
34769,0.0,223.085
34770,0.0,223.08
34771,593.0,223.085
34772,-105.0,223.08
34773,589.0,223.09
34774,0.0,223.09
34775,2751.0,223.185
34776,653.0,223.18
34777,0.0,223.185
34778,-3000.0,223.1
34779,274.0,223.13
34780,611.0,223.17
34781,2.0,223.17
34782,810.0,223.22
34783,189.0,223.22
34784,0.0,223.22
34785,-1529.0,223.065
34786,-317.0,223.03
34787,976.0,223.11
34788,274.0,223.095
34789,-1088.0,223.045
34790,-24.0,223.025
34791,150.0,223.04
34792,-203.0,222.985
34793,217.0,222.945
34794,121.0,222.965
34795,10.0,222.97
34796,735.0,223.025
34797,-93.0,223.02
34798,0.0,223.015
34799,231.0,223.035
34800,-906.0,222.935
34801,-49.0,222.94
34802,38.0,222.96
34803,-249.0,222.955
34804,171.0,222.97
34805,0.0,222.99
34806,100.0,222.995
34807,286.0,223.015
34808,43.0,222.99
34809,0.0,223.005
34810,0.0,223.0
34811,-348.0,222.97
34812,355.0,223.005
34813,0.0,223.0
34814,-516.0,222.955
34815,375.0,223.005
34816,549.0,223.03
34817,1049.0,223.065
34818,-349.0,223.045
34819,-18.0,223.045
34820,0.0,223.045
34821,0.0,223.045
34822,-507.0,223.09
34823,-16.0,223.075
34824,-348.0,223.08
34825,-130.0,223.075
34826,0.0,223.07
34827,0.0,223.07
34828,0.0,223.075
34829,-100.0,223.07
34830,0.0,223.07
34831,-608.0,223.055
34832,0.0,223.055
34833,-18.0,223.06
34834,-201.0,223.04
34835,1239.0,223.12
34836,0.0,223.11
34837,226.0,223.14
34838,0.0,223.14
34839,-179.0,223.115
34840,-1146.0,223.105
34841,-35.0,223.105
34842,-107.0,223.105
34843,0.0,223.105
34844,352.0,223.115
34845,-2841.0,223.02
34846,-47.0,222.995
34847,209.0,223.025
34848,-110.0,223.02
34849,1225.0,223.09
34850,-100.0,223.085
34851,-434.0,223.045
34852,-3.0,223.02
34853,0.0,223.02
34854,0.0,223.02
34855,558.0,223.04
34856,25.0,223.03
34857,13.0,223.04
34858,500.0,223.045
34859,138.0,223.05
34860,434.0,223.09
34861,0.0,223.09
34862,313.0,223.11
34863,-13.0,223.08
34864,-718.0,223.045
34865,-303.0,223.015
34866,-590.0,222.965
34867,305.0,222.955
34868,157.0,222.96
34869,-750.0,222.935
34870,206.0,222.94
34871,-24.0,222.915
34872,298.0,222.945
34873,-57.0,222.935
34874,0.0,222.935
34875,817.0,222.99
34876,977.0,223.03
34877,-23.0,223.025
34878,0.0,223.025
34879,324.0,223.085
34880,667.0,223.115
34881,9.0,223.115
34882,649.0,223.155
34883,-1780.0,223.14
34884,-95.0,223.11
34885,450.0,223.125
34886,52.0,223.155
34887,308.0,223.165
34888,15.0,223.165
34889,2275.0,223.165
34890,-108.0,223.145
34891,62.0,223.16
34892,613.0,223.185
34893,0.0,223.18
34894,-5.0,223.17
34895,940.0,223.205
34896,0.0,223.22
34897,0.0,223.215
34898,83.0,223.2
34899,-1217.0,223.175
34900,485.0,223.205
34901,-1022.0,223.225
34902,-141.0,223.2
34903,-365.0,223.165
34904,-601.0,223.13
34905,-19.0,223.115
34906,191.0,223.125
34907,-1.0,223.095
34908,-12.0,223.09
34909,0.0,223.095
34910,-1162.0,223.025
34911,0.0,223.025
34912,786.0,223.05
34913,0.0,223.035
34914,0.0,223.035
34915,-441.0,223.025
34916,130.0,223.065
34917,-185.0,223.035
34918,-2724.0,222.95
34919,286.0,222.945
34920,-328.0,222.97
34921,275.0,222.98
34922,-33.0,222.95
34923,-220.0,222.975
34924,0.0,222.95
34925,-2.0,222.95
34926,0.0,222.95
34927,0.0,222.94
34928,249.0,222.915
34929,-172.0,222.91
34930,-511.0,222.89
34931,-52.0,222.885
34932,0.0,222.885
34933,-637.0,222.84
34934,41.0,222.85
34935,345.0,222.86
34936,-11.0,222.86
34937,228.0,222.88
34938,439.0,222.915
34939,1150.0,222.975
34940,0.0,222.975
34941,166.0,222.995
34942,-119.0,222.985
34943,-57.0,222.98
34944,6533.0,223.025
34945,140.0,223.02
34946,426.0,223.02
34947,13.0,223.025
34948,-68.0,223.03
34949,4.0,223.03
34950,53.0,223.02
34951,762.0,223.05
34952,-113.0,223.045
34953,-91.0,223.05
34954,115.0,223.045
34955,282.0,223.065
34956,68.0,223.045
34957,368.0,223.065
34958,-75.0,223.04
34959,-28.0,223.035
34960,0.0,223.025
34961,50.0,223.04
34962,380.0,223.035
34963,58.0,223.04
34964,-1.0,223.045
34965,-876.0,223.035
34966,-163.0,223.035
34967,-554.0,223.025
34968,728.0,223.035
34969,-20.0,223.03
34970,-233.0,223.025
34971,0.0,223.025
34972,408.0,223.04
34973,-23.0,223.035
34974,67.0,223.045
34975,-36.0,223.05
34976,503.0,223.07
34977,-72.0,223.06
34978,962.0,223.095
34979,-544.0,223.085
34980,20.0,223.08
34981,626.0,223.14
34982,156.0,223.15
34983,140.0,223.155
34984,36.0,223.14
34985,-59.0,223.15
34986,953.0,223.165
34987,540.0,223.17
34988,1145.0,223.22
34989,-115.0,223.225
34990,590.0,223.26
34991,-128.0,223.26
34992,-59.0,223.265
34993,323.0,223.3
34994,9.0,223.295
34995,73.0,223.32
34996,-15.0,223.31
34997,-30.0,223.325
34998,257.0,223.33
34999,-4876.0,223.23
35000,0.0,223.225
35001,822.0,223.3
35002,525.0,223.345
35003,0.0,223.345
35004,102.0,223.375
35005,647.0,223.395
35006,99.0,223.395
35007,-249.0,223.425
35008,-802.0,223.4
35009,-302.0,223.385
35010,1060.0,223.425
35011,-40.0,223.415
35012,-767.0,223.365
35013,-662.0,223.355
35014,-519.0,223.32
35015,-1078.0,223.27
35016,90.0,223.285
35017,2.0,223.295
35018,-704.0,223.265
35019,0.0,223.26
35020,0.0,223.26
35021,636.0,223.3
35022,842.0,223.365
35023,0.0,223.365
35024,-232.0,223.36
35025,-2085.0,223.355
35026,0.0,223.355
35027,0.0,223.355
35028,-124.0,223.335
35029,-34.0,223.335
35030,2050.0,223.375
35031,1056.0,223.44
35032,-39.0,223.435
35033,-127.0,223.455
35034,370.0,223.465
35035,-871.0,223.415
35036,-257.0,223.415
35037,0.0,223.41
35038,-590.0,223.385
35039,-67.0,223.435
35040,-199.0,223.42
35041,200.0,223.43
35042,183.0,223.435
35043,-933.0,223.415
35044,-182.0,223.375
35045,-1539.0,223.34
35046,-146.0,223.29
35047,48.0,223.305
35048,310.0,223.32
35049,0.0,223.325
35050,400.0,223.365
35051,0.0,223.365
35052,-158.0,223.325
35053,0.0,223.34
35054,100.0,223.335
35055,3110.0,223.375
35056,183.0,223.36
35057,-257.0,223.295
35058,517.0,223.325
35059,36.0,223.355
35060,-97.0,223.295
35061,246.0,223.315
35062,-103.0,223.29
35063,-96.0,223.285
35064,0.0,223.28
35065,-660.0,223.24
35066,-9.0,223.245
35067,-736.0,223.215
35068,374.0,223.235
35069,55.0,223.225
35070,-462.0,223.12
35071,-75.0,223.11
35072,-30.0,223.1
35073,-39.0,223.11
35074,892.0,223.155
35075,828.0,223.145
35076,0.0,223.155
35077,-30.0,223.14
35078,119.0,223.145
35079,0.0,223.145
35080,3.0,223.14
35081,1294.0,223.175
35082,90.0,223.175
35083,650.0,223.185
35084,-711.0,223.17
35085,100.0,223.18
35086,0.0,223.18
35087,417.0,223.205
35088,11.0,223.21
35089,-24.0,223.195
35090,0.0,223.2
35091,113.0,223.195
35092,621.0,223.22
35093,-411.0,223.155
35094,1.0,223.08
35095,184.0,223.085
35096,207.0,223.085
35097,0.0,223.08
35098,-48.0,223.065
35099,-566.0,223.065
35100,649.0,223.13
35101,0.0,223.145
35102,26.0,223.2
35103,376.0,223.22
35104,875.0,223.29
35105,-901.0,223.29
35106,1091.0,223.355
35107,-1017.0,223.3
35108,-75.0,223.315
35109,273.0,223.315
35110,311.0,223.33
35111,125.0,223.34
35112,333.0,223.36
35113,-343.0,223.355
35114,1075.0,223.345
35115,152.0,223.38
35116,-202.0,223.365
35117,-219.0,223.355
35118,-62.0,223.41
35119,136.0,223.42
35120,-663.0,223.375
35121,-606.0,223.32
35122,-347.0,223.325
35123,-39.0,223.315
35124,-155.0,223.31
35125,274.0,223.385
35126,-992.0,223.305
35127,315.0,223.36
35128,249.0,223.385
35129,-86.0,223.42
35130,-2524.0,223.345
35131,1203.0,223.435
35132,335.0,223.475
35133,427.0,223.455
35134,-300.0,223.425
35135,34.0,223.405
35136,36.0,223.42
35137,187.0,223.455
35138,-86.0,223.47
35139,-31.0,223.455
35140,624.0,223.445
35141,-113.0,223.4
35142,342.0,223.43
35143,399.0,223.435
35144,20.0,223.43
35145,-158.0,223.42
35146,70.0,223.445
35147,361.0,223.455
35148,-1037.0,223.42
35149,357.0,223.415
35150,85.0,223.44
35151,811.0,223.47
35152,-78.0,223.465
35153,-350.0,223.46
35154,-589.0,223.41
35155,-95.0,223.42
35156,0.0,223.42
35157,-153.0,223.39
35158,-933.0,223.345
35159,-1219.0,223.35
35160,841.0,223.435
35161,266.0,223.44
35162,-529.0,223.415
35163,327.0,223.475
35164,-148.0,223.42
35165,-20.0,223.42
35166,134.0,223.465
35167,0.0,223.46
35168,-29.0,223.48
35169,-112.0,223.455
35170,-81.0,223.465
35171,16.0,223.475
35172,727.0,223.525
35173,-25.0,223.52
35174,-1082.0,223.49
35175,-29.0,223.49
35176,437.0,223.525
35177,709.0,223.51
35178,-24.0,223.535
35179,-666.0,223.505
35180,167.0,223.57
35181,0.0,223.585
35182,1095.0,223.625
35183,-165.0,223.62
35184,-1192.0,223.56
