decile,predicted,realised,ratio,n,model
5,4.640968161589653e-05,7.298309604580273e-05,1.5725834245069268,4750,sqrt_trailing_sigma
6,5.588227691892082e-05,9.002361775724899e-05,1.6109511408753723,4750,sqrt_trailing_sigma
7,6.78268268802467e-05,0.00011327054303837141,1.669996198382669,4751,sqrt_trailing_sigma
8,8.592697653863545e-05,0.00015143901756576488,1.7624152933819703,4749,sqrt_trailing_sigma
9,0.0001453579172679919,0.00020157366169955312,1.3867401617203827,4759,sqrt_trailing_sigma
0,1.7289440413688452e-05,1.4534957909996861e-05,0.8406841148247457,4761,sqrt_blend
1,3.619467290680093e-05,2.369739173270748e-05,0.654720427885253,4752,sqrt_blend
2,5.1714769824871337e-05,3.339574795055868e-05,0.6457680864412852,4747,sqrt_blend
3,6.794241965245618e-05,4.255805865454805e-05,0.6263842069835606,4754,sqrt_blend
4,8.477633279706419e-05,5.5253360935399205e-05,0.6517545535693735,4753,sqrt_blend
5,0.00010338003747518194,7.052078315879603e-05,0.6821508763307006,4747,sqrt_blend
6,0.0001240141062634736,8.91783899719525e-05,0.7190987594789335,4752,sqrt_blend
7,0.00014963577217030948,0.00010984992269080695,0.7341153862980047,4751,sqrt_blend
8,0.00018727213293401866,0.00015302102028424858,0.8171051287068016,4749,sqrt_blend
9,0.00029921927847550056,0.0002121744735120044,0.7090935938119268,4759,sqrt_blend
0,1.057377779759873e-05,1.520333162900934e-05,1.4378334706884013,4854,sqrt_tod_loso
1,2.2026658766293613e-05,2.5895344646722015e-05,1.1756365285119172,4855,sqrt_tod_loso
2,3.121085046218155e-05,3.4843269284587784e-05,1.1163832054755338,4784,sqrt_tod_loso
3,4.060946905482139e-05,4.4874223063686165e-05,1.1050187088904686,4736,sqrt_tod_loso
4,5.055138426934174e-05,5.93603023792701e-05,1.1742567139802493,4732,sqrt_tod_loso
5,6.267372537693963e-05,7.546271024707421e-05,1.204056561074319,4577,sqrt_tod_loso
6,7.433864079478691e-05,9.262536757368678e-05,1.2459922132472223,4765,sqrt_tod_loso
7,9.022393408132983e-05,0.00011423151571619566,1.266088836397057,4726,sqrt_tod_loso
8,0.00011506903154082634,0.00014831079895106692,1.2888854365515925,4744,sqrt_tod_loso
9,0.0001941231953428353,0.00019619679481743527,1.01068187380152,4752,sqrt_tod_loso
0,9.870415032075492e-06,1.5174924118985808e-05,1.5374149992348312,3906,sqrt_tod_prior
1,2.0169449647556923e-05,2.668045864612213e-05,1.3228154021224803,3901,sqrt_tod_prior
2,2.911577065685226e-05,3.6250710498584005e-05,1.2450541297986413,3644,sqrt_tod_prior
3,3.8197363870033e-05,4.586299527396144e-05,1.200684828147064,4003,sqrt_tod_prior
4,4.810678938577966e-05,6.16310492910775e-05,1.281129962692867,3774,sqrt_tod_prior
5,6.058663368013395e-05,8.1023926922945e-05,1.3373234656130488,3645,sqrt_tod_prior
6,7.219118116154972e-05,9.684202131070635e-05,1.3414660870278998,3765,sqrt_tod_prior
7,8.770161478603773e-05,0.00012116454083866368,1.3815542750753698,3799,sqrt_tod_prior
8,0.00011256011183934533,0.00015775160172103127,1.4014876064283484,3804,sqrt_tod_prior
9,0.00019229379117527635,0.000210869582883272,1.096601099777911,3805,sqrt_tod_prior
0,1.7950561948592584e-05,1.4481982865288986e-05,0.8067704457811945,4762,sqrt_rate
1,3.9960265557042756e-05,2.3547809768605838e-05,0.5892806126373622,4772,sqrt_rate
2,5.887987706495593e-05,3.2465960160900266e-05,0.5513931376773089,4730,sqrt_rate
3,7.783724783651255e-05,4.218396958899997e-05,0.5419509394474242,4754,sqrt_rate
4,9.765139572214974e-05,5.4130401154933556e-05,0.5543228619993544,4748,sqrt_rate
5,0.0001196606078931913,6.889460150074474e-05,0.5757500543724452,4750,sqrt_rate
