session,model,decile,predicted,realised,realised_se,n,ratio
MSFT_2024-10-01,propagator,9,0.00043662532028712473,0.0001894181195769223,6.408618767296834e-06,393,0.43382303035554826
MSFT_2024-12-02,propagator,0,8.486274751403416e-06,1.4786084343010093e-05,1.2341928142339145e-06,196,1.7423527727009838
MSFT_2024-12-02,propagator,1,1.898590836198586e-05,2.0009840195796808e-05,3.142047799960485e-06,193,1.0539311480013827
MSFT_2024-12-02,propagator,2,3.2329834952092093e-05,2.5645958671387354e-05,2.546066521400376e-06,208,0.7932598081428739
MSFT_2024-12-02,propagator,3,4.968745013152294e-05,2.5873757185805857e-05,2.4238856419392775e-06,203,0.5207302269953055
MSFT_2024-12-02,propagator,4,6.544710467192672e-05,3.604244770221319e-05,2.787417693882526e-06,202,0.5507111106425072
MSFT_2024-12-02,propagator,5,9.115415370346031e-05,4.956454737226886e-05,5.107704131774041e-06,201,0.54374425474357
MSFT_2024-12-02,propagator,6,0.00012308517038952366,6.107067617681446e-05,4.968007124216569e-06,199,0.4961659961435327
MSFT_2024-12-02,propagator,7,0.00017073883351265167,8.770452213352431e-05,7.437092685398832e-06,202,0.5136764749363562
MSFT_2024-12-02,propagator,8,0.00026383159955713464,0.00011201464907735214,6.222439233469458e-06,200,0.42456873727551564
MSFT_2024-12-02,propagator,9,0.000567633544471223,0.0002009499039355811,9.616863984229974e-06,200,0.3540134403486941
INTC_2024-08-02,propagator,0,0.00012904880551347034,4.240549424434663e-05,9.970738854159108e-06,83,0.328600439776409
INTC_2024-08-02,propagator,1,0.00018334332301527356,2.8074950066461405e-05,5.631759024912039e-06,184,0.1531277474670981
INTC_2024-08-02,propagator,2,0.00022974459554922795,7.137980373285667e-05,1.1479704067635454e-05,138,0.31069198194723996
INTC_2024-08-02,propagator,3,0.0002899767303172669,0.00012760140629994744,1.11371531256568e-05,147,0.44004015825799975
INTC_2024-08-02,propagator,4,0.00037997588476576354,0.00017018593641452627,1.2499101273683833e-05,138,0.447886150773588
INTC_2024-08-02,propagator,5,0.00046867050758914994,0.00020428734236526569,1.2845737046016889e-05,139,0.43588691640983274
INTC_2024-08-02,propagator,6,0.000589429922780392,0.0003024742512931628,2.2786109499183665e-05,138,0.5131640583606031
INTC_2024-08-02,propagator,7,0.0011013999465138975,0.0004110259229903054,3.3276102646847285e-05,138,0.37318498542810585
INTC_2024-08-02,propagator,8,0.002261968862274247,0.0005450197113204197,3.6507195518974256e-05,138,0.2409492546119497
INTC_2024-08-02,propagator,9,0.0057528904274688035,0.0009091826999313966,5.9452193343901056e-05,138,0.15803928675405438
INTC_2024-02-01,propagator,0,0.00011242596729526543,2.6511521245861104e-05,5.562665404772859e-06,87,0.2358131478311735
INTC_2024-02-01,propagator,1,0.0001659896005884506,7.640901058761797e-05,6.336335209853578e-06,83,0.460324082452997
INTC_2024-02-01,propagator,2,0.00019842888516779977,9.655553587460771e-05,4.995858299045237e-06,86,0.48660020335726983
INTC_2024-02-01,propagator,3,0.00022770538883367267,0.00010585061221280282,7.532908035963715e-06,85,0.4648577390064377
INTC_2024-02-01,propagator,4,0.0002594930694109478,9.763336214198069e-05,5.28354737507043e-06,85,0.3762465115681491
INTC_2024-02-01,propagator,5,0.00030731785252974194,0.00011392046488948642,8.301833601588582e-06,85,0.37069263614765535
INTC_2024-02-01,propagator,6,0.0005194694378328297,0.00021569035744033852,1.6693987238192798e-05,85,0.41521279546333917
INTC_2024-02-01,propagator,7,0.0009929519899282385,0.00027617657321867673,1.5046641414910168e-05,86,0.2781368847839625
INTC_2024-02-01,propagator,8,0.0017384078492210843,0.0003541338114256413,2.1656573446847415e-05,85,0.20371158102186174
INTC_2024-02-01,propagator,9,0.003579095856393319,0.00054123401283391,3.1992311719588694e-05,85,0.15122087659851485
INTC_2024-04-01,propagator,0,4.893139823381808e-05,1.6577484997145032e-05,4.27266067359414e-06,102,0.3387903390360873
INTC_2024-04-01,propagator,1,8.767288689109286e-05,2.1557971561891875e-05,6.786409093246091e-06,68,0.24589097412374658
INTC_2024-04-01,propagator,2,0.0001253456321335154,6.163806626139383e-05,6.368584178141527e-06,86,0.49174482757993776
INTC_2024-04-01,propagator,3,0.00017477389125545217,7.295010435978982e-05,6.454808026207361e-06,85,0.41739703702748626
INTC_2024-04-01,propagator,4,0.000224670425712765,6.764874646611365e-05,7.592937115377258e-06,85,0.3011021421778081
INTC_2024-04-01,propagator,5,0.0003011349894879529,0.00010611616188092704,9.569324204976705e-06,86,0.352387353131451
INTC_2024-04-01,propagator,6,0.00040718438305802556,0.0001577376277316813,1.465482521447211e-05,85,0.3873862414541645
INTC_2024-04-01,propagator,7,0.0006387511373117672,0.00021855354390554324,1.8098308356966926e-05,85,0.34215758084649756
INTC_2024-04-01,propagator,8,0.0010674096613258821,0.0002763673719829944,1.6623740766201014e-05,86,0.2589140627036342
INTC_2024-04-01,propagator,9,0.0022393318399762272,0.0005395335400362738,3.068937378826465e-05,85,0.2409350550037289
INTC_2024-10-01,propagator,0,0.0001634790448215696,2.0002758842564987e-05,7.8457329142444e-06,66,0.12235671467494287
INTC_2024-10-01,propagator,1,0.00025400234789387134,0.00010454710480843503,1.4444530545682305e-05,59,0.4115989701485652
INTC_2024-10-01,propagator,2,0.0003093925016207405,0.0001778546376089125,1.4219928408978018e-05,62,0.5748511572750727
INTC_2024-10-01,propagator,3,0.0003737611842534775,0.00016792488382079263,1.7784041044257167e-05,63,0.44928390345346636
INTC_2024-10-01,propagator,4,0.00043889079412448855,0.00017077676583251183,1.7884602721170997e-05,62,0.3891099292095703
INTC_2024-10-01,propagator,5,0.0005275851655089768,0.00021315182499110692,2.8168509003174057e-05,62,0.4040140605270301
INTC_2024-10-01,propagator,6,0.0007987550925103214,0.00033607629650888264,4.054278190961971e-05,63,0.4207501143468953
INTC_2024-10-01,propagator,7,0.0016576989468454451,0.0005118726064255614,5.311559854673889e-05,62,0.3087850223948327
INTC_2024-10-01,propagator,8,0.0034865598004201427,0.0005386801909886071,4.5100028004243386e-05,63,0.15450192218808187
INTC_2024-10-01,propagator,9,0.007991081028463683,0.0011164205632467107,7.508407695351049e-05,62,0.13970832723008278
INTC_2024-12-02,propagator,0,0.0001344644244685627,4.1126567723754075e-05,6.669811416257183e-06,190,0.30585463691453435
INTC_2024-12-02,propagator,1,0.00020761989642788188,9.475510328691016e-05,9.133280948741765e-06,194,0.4563873931023945
INTC_2024-12-02,propagator,2,0.000252006092911702,0.0001160798497992827,1.0511010395418308e-05,187,0.4606231875510835
INTC_2024-12-02,propagator,3,0.00029634321723840155,0.0001589618653198503,1.270750249174737e-05,191,0.536411350329537
INTC_2024-12-02,propagator,4,0.00033757843050370067,0.0001897077743099551,1.6044981955150263e-05,190,0.5619665155350483
