session,start_second,order_fraction,TWAP_total,TWAP_drift,TWAP_impact,propagator_optimal_total,propagator_optimal_drift,propagator_optimal_impact,almgren_chriss_total,almgren_chriss_drift,almgren_chriss_impact,TWAP_inventory_var,propagator_optimal_inventory_var,almgren_chriss_inventory_var
MSFT_2024-06-03,52299,0.01,-0.22881251918620865,-0.23225833333327728,0.0034458141470686387,-0.22882911690282293,-0.2322749307736558,0.0034458138708328688,-0.20248768417325938,-0.20783787613328286,0.0053501919600234945,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,52299,0.02,-0.2253666761570674,-0.23225833333327728,0.006891657176209888,-0.22538327414992132,-0.2322749307736558,0.006891656623734475,-0.19713740292327017,-0.20783787613328286,0.01070047321001268,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,52352,0.005,-0.1609270143706,-0.16264999999998508,0.0017229856293850725,-0.1609458773784306,-0.16266886285069404,0.0017229854722634395,-0.18961383109692895,-0.19228850747509796,0.002674676378169011,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,52352,0.01,-0.15920402152038274,-0.16264999999998508,0.0034459784796023437,-0.15922288468533605,-0.16266886285069404,0.003445978165357991,-0.18693913240026924,-0.19228850747509796,0.005349375074828714,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,52352,0.02,-0.15575801415733057,-0.16264999999998508,0.006891985842654526,-0.15577687763653256,-0.16266886285069404,0.006891985214161479,-0.18158966805063503,-0.19228850747509796,0.010698839424462933,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,52500,0.005,0.2269398737978269,0.22521666666676765,0.0017232071310592492,0.22694438270360948,0.2252211755337612,0.0017232071698482726,0.1214093123331982,0.11873528966697222,0.002674022666225973,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,52500,0.01,0.2286630881506464,0.22521666666676765,0.003446421483878744,0.22866759709521814,0.2252211755337612,0.003446421561456938,0.12408335730975016,0.11873528966697222,0.0053480676427779365,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,52500,0.02,0.23210953852168717,0.22521666666676765,0.006892871854919531,0.23211404754383771,0.2252211755337612,0.0068928720100765095,0.1294315141946744,0.11873528966697222,0.010696224527702185,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,52542,0.005,0.28099828699446416,0.279275000000041,0.0017232869944231693,0.28100655119042284,0.2792832641257519,0.001723287064670979,0.17994558989586593,0.17727143995119832,0.002674149944667612,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,52542,0.01,0.2827215812109823,0.279275000000041,0.0034465812109412486,0.2827298454771891,0.2792832641257519,0.0034465813514372133,0.18261976215173328,0.17727143995119832,0.005348322200534957,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,52542,0.02,0.2861681913104242,0.279275000000041,0.006893191310383203,0.2861764557171284,0.2792832641257519,0.0068931915913765145,0.18796817359790954,0.17727143995119832,0.01069673364671123,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,53101,0.005,-0.22011084717848525,-0.2218333333333362,0.0017224861548509618,-0.2201132366395684,-0.22183572277543817,0.0017224861358697855,-0.12566632683718834,-0.1283413490291423,0.0026750221919539427,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,53101,0.01,-0.2183883538048953,-0.2218333333333362,0.0034449795284409186,-0.21839074328495983,-0.22183572277543817,0.003444979490478342,-0.12299128232349914,-0.1283413490291423,0.005350066705643154,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,53101,0.02,-0.21494334540137738,-0.2218333333333362,0.006889987931958829,-0.21494573491940538,-0.22183572277543817,0.006889987856032778,-0.11764112633007208,-0.1283413490291423,0.010700222699070214,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,53290,0.005,-0.13722798372468148,-0.1389499999999657,0.001722016275284239,-0.13723117801123522,-0.13895319426075048,0.0017220162495152585,-0.08046154588377306,-0.08313540680950382,0.002673860925730758,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,53290,0.01,-0.1355059602326275,-0.1389499999999657,0.0034440397673382115,-0.1355091545449505,-0.13895319426075048,0.0034440397157999856,-0.0777876626468691,-0.08313540680950382,0.005347744162634731,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,53290,0.02,-0.13206189159808937,-0.1389499999999657,0.006888108401876333,-0.13206508596195166,-0.13895319426075048,0.006888108298798824,-0.07243982923869907,-0.08313540680950382,0.010695577570804745,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,53664,0.005,0.18859739686483276,0.1868750000000432,0.001722396864789571,0.18859838467206874,0.18687598779797554,0.0017223968740931997,0.10207372084155061,0.09940073833553242,0.0026729825060181943,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,53664,0.01,0.19031980094798687,0.1868750000000432,0.0034448009479436793,0.19032078876452643,0.18687598779797554,0.0034448009665508992,0.1047467256496914,0.09940073833553242,0.005345987314158977,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,53664,0.02,0.19376463076950973,0.1868750000000432,0.006889630769466514,0.19376561860465635,0.18687598779797554,0.006889630806680804,0.11009280217318279,0.09940073833553242,0.010692063837650362,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,53796,0.005,0.2596642984898738,0.2579416666666816,0.0017226318231921937,0.2596726116863401,0.2579499797923859,0.0017226318939542404,0.18056788911038796,0.17789463810072448,0.002673251009663469,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,53796,0.01,0.26138693753241515,0.2579416666666816,0.003445270865733564,0.2613952507996439,0.2579499797923859,0.0034452710072580056,0.18324116242293503,0.17789463810072448,0.005346524322210562,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,53796,0.02,0.26483223727566646,0.2579416666666816,0.006890570608984858,0.26484055068442103,0.2579499797923859,0.006890570892035133,0.18858777595752213,0.17789463810072448,0.010693137856797666,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,53839,0.005,0.2052310513568554,0.20350833333333185,0.0017227180235235575,0.2052392589834041,0.20351654089012072,0.0017227180932833622,0.1465355682220352,0.14386197867668216,0.0026735895453530367,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,53839,0.01,0.20695377660008943,0.20350833333333185,0.0034454432667575807,0.20696198429639825,0.20351654089012072,0.0034454434062775306,0.1492091800732125,0.14386197867668216,0.005347201396530329,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,53839,0.02,0.2103992487458099,0.20350833333333185,0.006890915412478053,0.21040745658164003,0.20351654089012072,0.006890915691519314,0.15455647069388198,0.14386197867668216,0.010694492017199827,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54050,0.005,0.12648949474721688,0.12476666666674419,0.0017228280804726997,0.12649294891783192,0.12477012080745453,0.0017228281103773722,0.15237544697072522,0.1497007495767093,0.0026746973940159073,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54050,0.01,0.12821233004786134,0.12476666666674419,0.00344566338111715,0.12821578424838112,0.12477012080745453,0.003445663440926584,0.15505016668128038,0.1497007495767093,0.005349417104571067,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,54050,0.02,0.13165802230978652,0.12476666666674419,0.006891355643042338,0.1316614765701161,0.12477012080745453,0.006891355762661566,0.16039967305285102,0.1497007495767093,0.010698923476141715,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,54054,0.005,0.11753116578061944,0.11580833333334795,0.0017228324472714947,0.11753433900947867,0.11581150653461236,0.0017228324748663048,0.14570350605873833,0.1430287665675678,0.0026747394911705385,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,54054,0.01,0.11925400544808099,0.11580833333334795,0.0034456721147330463,0.1192571787045351,0.11581150653461236,0.003445672169922741,0.14837826786694333,0.1430287665675678,0.005349501299375529,620323622314.9985,620345026881.7767,301637044100.4354
