symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume
FOXA,20,34.07,1388184.55,164.3307059712339,0.000293513354857646,47295447.6185
FRT,20,100.77799999999999,44672.4,135.73978712134925,9.922800611244519e-05,4501995.1272
FSLR,20,265.0025,989367.6,553.1527490328922,3.773549306138621e-05,262184887.419
FTNT,20,59.533,2403939.55,245.21753340640439,0.0001679740648043942,143113733.23014998
FTV,20,73.20625,180331.4,167.35857303193842,0.00013660035857594128,13201385.55125
GD,20,295.31350000000003,80738.45,142.4127921894526,3.386231919637944e-05,23843154.254075002
GDDY,20,139.61025,172066.85,237.84931346641866,7.16279786047228e-05,24022295.945212502
GE,20,161.03050000000002,572165.5,277.79948021403953,6.210003694952198e-05,92136096.54775001
GEHC,20,77.3355,1349951.3,225.00834654645155,0.0001293067220099437,104399158.76115
GEN,20,24.45,3169140.05,252.29388684051418,0.00040899795501022495,77485474.2225
GEV,20,171.751,347084.75,469.3791474939374,5.8223824024314266e-05,59612152.897250004
GILD,20,66.279,3678555.4,280.7427693970487,0.0001508773518007212,243810973.3566
GIS,20,66.2905,466396.85,216.16120375940105,0.00015085117777057045,30917680.384924997
GL,20,81.61675,146744.85,260.8170558382764,0.0001225238691812649,11976837.7362375
GLW,20,38.366,699096.75,228.33628852740384,0.0002606474482614815,26821545.9105
GM,20,46.8065,1389614.3,240.53887272333154,0.0002136455406834521,65042981.73295
GNRC,20,137.7495,93538.65,318.8059164345442,7.259554481141491e-05,12884902.268175
GOOG,20,179.58599999999998,7847410.1,188.41000824775335,5.5683627899724926e-05,1409284990.2185998
GOOGL,20,178.1105,8731332.25,191.25043438247872,5.614492127078415e-05,1555141952.713625
GPC,20,140.93075000000002,98535.8,180.75172674108492,7.095683518323715e-05,13886724.195850002
GPN,20,96.08675,271845.15,246.99369941153503,0.00010407262187554477,26120716.9667625
GRMN,20,162.099,69472.7,157.0434519027448,6.169069519244413e-05,11261455.197299998
GS,20,453.5665,222644.7,193.22745863624183,2.204748366557054e-05,100984177.32255001
GWW,20,902.499,32686.2,194.92830682591267,1.1080344687362534e-05,29499262.8138
HAL,20,33.88725,994595.7,268.10669614266726,0.0002950962382607028,33704113.134825
HAS,20,59.2675,802980.75,250.90705553875333,0.0001687265364660227,47590661.600625
HBAN,20,12.864500000000001,5785936.9,255.94755524300885,0.000777332970577947,74433185.25005001
HCA,20,336.403,139990.85,251.74024579240736,2.972625095495581e-05,47093341.91255
HD,20,340.9065,316257.7,213.4367423870322,2.9333556268360972e-05,107814305.60505
HES,20,147.00675,209378.7,208.41183024705364,6.802408732932331e-05,30780082.206225004
HIG,20,101.29249999999999,138868.8,156.20628209563114,9.87239923982526e-05,14066367.923999997
HII,20,247.09949999999998,29871.25,164.41960456657173,4.046952745756265e-05,7381170.939374999
HLT,20,210.333,213668.9,204.50765481407612,4.754365696300628e-05,44941620.7437
HOLX,20,73.1175,610648.8,180.89940524360213,0.00013676616405101377,44649113.63400001
HON,20,210.92950000000002,1421383.55,176.36177018795078,4.7409205445421336e-05,299811721.50972503
HPE,20,20.7775,3059821.55,474.55281846220595,0.0004812898568162676,63575442.25512499
HPQ,20,35.8935,945628.5,254.96591649896118,0.0002786019752880048,33941916.56475
HRL,20,30.594,274206.2,159.4841398524871,0.0003268614761064261,8389064.482800001
