symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume,tick_tercile,volume_tercile,cell,role
KHC,20.0,33.2665,3100415.9,219.8606615169633,0.0003006027084304,103139985.53735,high,high,high_tick__high_volume,stratified
LIN,20.0,437.12749999999994,797480.3,158.6287780208476,2.2876620665595283e-05,348600569.83825,low,high,low_tick__high_volume,stratified
MAS,20.0,67.61749999999999,169393.4,233.982435551777,0.0001478907087662,11453958.2245,high,low,high_tick__low_volume,stratified
MKTX,20.0,198.225,206437.7,307.0008991564264,5.0447723546474966e-05,40921113.0825,low,mid,low_tick__mid_volume,stratified
MMC,20.0,210.75875,188034.75,136.0663276681003,4.7447614867710114e-05,39629968.8665625,low,mid,low_tick__mid_volume,stratified
MPWR,20.0,796.7895000000001,247772.3,361.7218773031983,1.2550366188309456e-05,197422367.03085,low,high,low_tick__high_volume,stratified
MS,20.0,96.725,601107.05,166.70511334651837,0.0001033858878263,58142079.41125,mid,mid,mid_tick__mid_volume,stratified
MSFT,,,,,,,,,,comparison
MTB,20.0,146.28050000000002,89647.75,202.88245635905065,6.836181172473432e-05,13113717.693875002,mid,low,mid_tick__low_volume,stratified
MTD,20.0,1435.59,24663.1,218.22596258258,6.965777136926282e-06,35406099.728999995,low,mid,low_tick__mid_volume,stratified
NDAQ,20.0,59.4975,895835.15,169.7792520199774,0.0001680742888356,53299951.837125,high,mid,high_tick__mid_volume,stratified
NEM,20.0,41.494,704814.1,254.46613767961225,0.000240998698607,29245556.2654,high,mid,high_tick__mid_volume,stratified
NOW,20.0,728.654,176636.6,237.5721055005601,1.3723934816799194e-05,128706965.1364,low,high,low_tick__high_volume,stratified
NUE,20.0,157.43325,225304.05,258.0091623488073,6.3518983442189e-05,35470348.829662494,mid,mid,mid_tick__mid_volume,stratified
NVR,20.0,7599.3545,2061.4,207.00966085735837,1.3159012387170515e-06,15665309.3663,low,low,low_tick__low_volume,stratified
OKE,20.0,79.99,251790.7,162.57525998239618,0.0001250156269533,20140738.093,mid,low,mid_tick__low_volume,stratified
OTIS,20.0,97.269,232432.25,152.60330934757243,0.0001028076776773,22608452.525250003,mid,low,mid_tick__low_volume,stratified
PANW,20.0,315.23249999999996,1075256.95,296.34957771275776,3.1722617433164416e-05,338955936.49087495,low,high,low_tick__high_volume,stratified
PAYC,20.0,144.09075,122761.6,271.22013543592436,6.940070754021337e-05,17688811.015200004,mid,low,mid_tick__low_volume,stratified
