session,model,decile,predicted,realised,realised_se,n,ratio
INTC_2024-08-02,propagator,4,-0.00016867430570744995,1.701434710077443e-05,5.200756701147561e-06,138,-0.10087100717215489
INTC_2024-08-02,propagator,5,0.0001698687963635802,5.5400319741642314e-05,8.333074288960115e-06,144,0.32613594095919624
INTC_2024-08-02,propagator,6,0.00028309814000448106,0.00010299042796742726,1.1336180387077272e-05,132,0.363797614374284
INTC_2024-08-02,propagator,7,0.0004446666337187383,0.0001803588704297609,1.2127832357405051e-05,138,0.4056046861924926
INTC_2024-08-02,propagator,8,0.000915683889415393,0.0003345211897204976,2.9548526524553407e-05,138,0.3653238782371376
INTC_2024-08-02,propagator,9,0.004440120832193378,0.0007458351058110176,5.172086146042929e-05,138,0.16797630830298418
INTC_2024-02-01,propagator,0,-0.0025370247945626927,0.00044380840929597213,3.1116668500718396e-05,86,-0.17493262590382821
INTC_2024-02-01,propagator,1,-0.0006765782635321755,0.0002509644841443905,1.5219306890687638e-05,85,-0.37093193451736656
INTC_2024-02-01,propagator,2,-0.0002963297828474114,0.00010440722451163002,7.627721497157024e-06,85,-0.3523345628926953
INTC_2024-02-01,propagator,3,-0.00023053320035510742,9.49420815728718e-05,5.168783511376001e-06,85,-0.41183691297663616
INTC_2024-02-01,propagator,4,-0.00014505010606645564,5.969280936193964e-05,6.287075846516721e-06,85,-0.41153233858781874
INTC_2024-02-01,propagator,5,0.00013412863326220552,4.3412553607665126e-05,6.679431541370921e-06,85,0.32366357989198885
INTC_2024-02-01,propagator,6,0.00020047376457379276,9.981455876362732e-05,5.277153321924206e-06,89,0.49789337261079064
INTC_2024-02-01,propagator,7,0.00026494346523945543,0.00011387729504236182,8.477501098449971e-06,81,0.4298173383496729
INTC_2024-02-01,propagator,8,0.000835460652728474,0.00024012164033581672,1.750115377043021e-05,85,0.28741226717454593
INTC_2024-02-01,propagator,9,0.002734534680342604,0.0004464731059438818,2.6497936471494298e-05,86,0.16327205837007125
INTC_2024-04-01,propagator,0,-0.0015203101607364814,0.00038778998551312216,2.7124560178806438e-05,86,-0.25507294204050157
INTC_2024-04-01,propagator,1,-0.00043813074966691764,0.0001629378141353326,1.63728807352693e-05,85,-0.37189312610266145
INTC_2024-04-01,propagator,2,-0.00024293448021088434,7.598930712681475e-05,7.548968285476882e-06,86,-0.3127975372654003
INTC_2024-04-01,propagator,3,-0.0001447933452467782,7.383581245682233e-05,6.186369377529653e-06,84,-0.5099392677956327
INTC_2024-04-01,propagator,4,-5.8317644629619335e-05,1.537751612231484e-05,5.211260019668497e-06,88,-0.2636854800974704
INTC_2024-04-01,propagator,5,7.113096609650436e-05,2.2815140824837344e-05,5.326629248514393e-06,84,0.3207483614644532
INTC_2024-04-01,propagator,6,0.0001563317565074191,5.907445958738954e-05,6.470289883777958e-06,84,0.37787881942326934
INTC_2024-04-01,propagator,7,0.00029006866935607674,0.00011139330324711384,1.1713421778397542e-05,85,0.3840239054234839
INTC_2024-04-01,propagator,8,0.0006018472613271087,0.00020932524354577185,1.798693315090257e-05,85,0.3478045959438236
INTC_2024-04-01,propagator,9,0.0017615344290648352,0.0004153179071331015,2.9345151797156656e-05,86,0.2357705306694379
INTC_2024-10-01,propagator,0,-0.005242850478641934,0.0007553600614033888,5.8298887682661416e-05,63,-0.14407430928662518
INTC_2024-10-01,propagator,1,-0.0011718496591917565,0.0004693587569776118,3.945260015662924e-05,62,-0.4005281337038883
INTC_2024-10-01,propagator,2,-0.0004950019889528934,0.00021331869648961147,2.6819710783362234e-05,62,-0.4309451300202994
INTC_2024-10-01,propagator,3,-0.00034309716763557903,0.00018555173527459238,1.6717957730066605e-05,63,-0.5408139523660432
INTC_2024-10-01,propagator,4,-0.0002085960453284457,6.040456723436478e-05,1.2583144925222664e-05,62,-0.28957676133914495
INTC_2024-10-01,propagator,5,0.0002039057633253644,5.943406720431725e-05,1.2416404817866207e-05,63,0.2914781133943755
INTC_2024-10-01,propagator,6,0.0003407331055466985,0.00015991050431929388,1.534682644839624e-05,62,0.46931308322013826
INTC_2024-10-01,propagator,7,0.00047166694300232974,0.00018488425934060082,2.4918575093726124e-05,62,0.39198053220296936
INTC_2024-10-01,propagator,8,0.0012832792889918266,0.00036970421406943004,5.54834715675626e-05,62,0.28809333809156856
INTC_2024-10-01,propagator,9,0.006121509693422712,0.0008820684605643674,8.190239725281441e-05,63,0.1440932882148517
INTC_2024-12-02,propagator,0,-0.0022922802854222963,0.0007288896075007668,4.1241261206875445e-05,191,-0.3179757781524901
INTC_2024-12-02,propagator,1,-0.0005158900753146815,0.0004083072887063134,2.6430688682404882e-05,190,-0.791461802123747
INTC_2024-12-02,propagator,2,-0.0003573116049996693,0.00022177987490805894,1.650938173368892e-05,191,-0.6206903772640248
INTC_2024-12-02,propagator,3,-0.0002834569047746053,0.00014947728846260064,1.2438457749540477e-05,196,-0.5273369106371198
INTC_2024-12-02,propagator,4,-0.00018155167164851283,6.991438424968946e-05,9.251016978057698e-06,184,-0.38509358583624015
INTC_2024-12-02,propagator,5,0.00015943428512797645,6.451104885437945e-05,7.58912085461888e-06,190,0.40462469413399393
INTC_2024-12-02,propagator,6,0.00026244345115738343,0.0001237893302950186,1.0770286263945979e-05,191,0.4716800123954473
INTC_2024-12-02,propagator,7,0.0003600916084768387,0.0001842704627233092,1.4722100421475244e-05,190,0.511732176994515
INTC_2024-12-02,propagator,8,0.0005584918213110045,0.0003504553377015554,2.6044150427528676e-05,190,0.6275030794164471
INTC_2024-12-02,propagator,9,0.0032222249270110804,0.000826063385961634,5.107733905854959e-05,191,0.25636428389494403
AAPL_2024-02-01,propagator,0,-0.00024294768703091304,0.00011198941143944191,3.944911828822092e-06,501,-0.4609610110228883
AAPL_2024-02-01,propagator,1,-9.915201452898416e-05,6.164297631718433e-05,2.7302173740585044e-06,502,-0.6217017032887902
AAPL_2024-02-01,propagator,2,-7.332744369390174e-05,3.42842115805174e-05,1.2177546369513453e-06,499,-0.46754952652697807
AAPL_2024-02-01,propagator,3,-5.9076046860824386e-05,2.1770000895304447e-05,7.576423969813846e-07,621,-0.36850808495348014
AAPL_2024-02-01,propagator,4,-3.6415069655624194e-05,1.1677984820665239e-05,8.941755320975892e-07,379,-0.3206909922486338
AAPL_2024-02-01,propagator,5,4.36695235097685e-05,1.2917240379019771e-05,6.682763211668591e-07,654,0.2957953130890081
AAPL_2024-02-01,propagator,6,6.158579077302303e-05,2.3660651830788398e-05,1.1804194132190205e-06,382,0.3841901116117954
AAPL_2024-02-01,propagator,7,7.200255342902996e-05,3.615338531368233e-05,1.5114299207214202e-06,465,0.5021125445129843
