q_star,a,wsse,deviance
2.160598636789299e-06,1017.671920386949,0.6207774433443192,3.2580162774118855
2.2550143299621466e-06,996.130614618317,0.622913121178428,3.395393209859268
2.353555881110424e-06,975.0429975514467,0.6250421643524204,3.5318753588095166
2.4564035855162205e-06,954.3997099616155,0.6271630965577716,3.667376098169152
2.5637456171595504e-06,934.1915712094037,0.6292745400518602,3.8018162276398515
2.6757783730084907e-06,914.4164812424233,0.6315560131340634,3.946576398085402
2.792706832354338e-06,895.069695770593,0.6341697644257583,4.1117783749009265
2.914744931849346e-06,876.1290770300519,0.6367829455205241,4.276265047407535
3.0421159569331863e-06,857.5863583890354,0.6393932760405981,4.439899762823052
3.1750529503642454e-06,839.4334225418359,0.6419986188531581,4.602557036562633
3.313799138603357e-06,821.6623001388401,0.6445969732078543,4.764121892111642
3.4586083768299255e-06,804.2827842666145,0.6477768485853144,4.9609616448749225
3.6097456134048116e-06,787.2698080700281,0.6510573844488908,5.163022400968572
3.7674873746297043e-06,770.6130002960648,0.6543399784416682,5.364193385690548
3.932122270689904e-06,754.3052065227558,0.6576215949986466,5.564298234325183
4.103951523706221e-06,738.3393941717477,0.6608993862633012,5.763175495347932
4.283289518862171e-06,722.7086519790955,0.6641706832009464,5.960677720117169
4.470464379614803e-06,707.4250957679315,0.6678377938969139,6.180923763524704
4.665818568041516e-06,692.4781325296804,0.6719138286408375,6.424314986283399
4.869709511421457e-06,677.8453375708682,0.6759682266933489,6.664953862036397
5.082510256197685e-06,663.5611493228321,0.6795290305423642,6.875109184495548
5.30461015051683e-06,649.5853176890158,0.6831026508069824,7.084916633222372
5.536415556594937e-06,635.933625449571,0.6866437302440179,7.291733741834837
5.778350594212857e-06,622.5602375083647,0.6902742507543189,7.502670281195604
6.03085791670153e-06,609.4767950486523,0.694292831227646,7.734863682863308
6.294399520836986e-06,596.6894840202684,0.6990005303348737,8.00517097936489
6.569457592126787e-06,584.1738529423022,0.703814932846814,8.279728626628213
6.856535387034578e-06,571.9374706494202,0.7087499756449656,8.559223768963362
7.156158153756779e-06,559.9461807634473,0.7138176711386496,8.844213628943706
7.468874093236177e-06,548.2298107927129,0.7197636711719035,9.176027887655687
7.795255362170758e-06,536.7533780557802,0.726026553027726,9.522574484792436
8.135899119852834e-06,525.5053034953437,0.7324294499115808,9.873791827372983
8.491428620753904e-06,514.5009038902888,0.7391885205942862,10.241230570132238
8.862494354854162e-06,503.74639361284267,0.7464997441143382,10.634921909765946
9.249775237803088e-06,493.20389205731294,0.7539696610777058,11.033196137857162
9.653979853088767e-06,482.89137394502984,0.7617303748318816,11.442817112524317
1.0075847748488597e-05,472.8200593590501,0.7699506511263842,11.872167875725845
1.0516150789173334e-05,462.9519906633952,0.7784152100737729,12.309513776134828
1.0975694569940245e-05,453.330701449321,0.7875568034596769,12.776530920852007
1.145531988915932e-05,443.89349670943346,0.7969306004066201,13.24981490070158
1.1955904287129164e-05,434.6694714428382,0.8066008996751541,13.732270855043678
1.2478363651657382e-05,425.6618322296833,0.8166504845163451,14.227558933675525
1.3023653893802893e-05,416.86447088208155,0.8272952382654251,14.74557615887669
1.359277269684626e-05,408.258378281743,0.8384982764101473,15.283611969732295
1.4186761341688144e-05,399.83108285399766,0.8502104702004734,15.838468175184577
1.4806706612015465e-05,391.6106250155783,0.8628118707237453,16.42697785353151
1.545374278272129e-05,383.54074214148534,0.8757891993458318,17.024127820290012
1.6129053695216233e-05,375.69578815828083,0.8895816101907166,17.649160993211634
1.6833874923428655e-05,367.98868410507805,0.9038011683753353,18.28348653033707
1.7569496034456627e-05,360.4822636611938,0.9187210602979807,18.93841298324139
1.8337262948007905e-05,353.127957462348,0.9342330332553043,19.608147237106316
1.9138580398944402e-05,345.95980782901626,0.9503608214195534,20.29277992201316
1.9974914507437512e-05,338.9463117466557,0.9671302293695668,20.99243734117671
2.0847795461435818e-05,332.1116060812752,0.984680107001737,21.711783900197396
2.1758820316353874e-05,325.42226716395174,1.0029993787648819,22.44911768520975
2.2709655917104206e-05,318.86002291663914,1.0223254772274752,23.21251857905701
2.3702041947818596e-05,312.4710986401556,1.0437745995329035,24.043064713903185
2.4737794114838703e-05,306.1811083820814,1.0658843175936292,24.88151409206095
2.5818807468799943e-05,300.06277083437476,1.089993094394746,25.77617653323774
2.694705987188644e-05,294.06046821098175,1.1152903951366082,26.693914703949776
2.8124615616601272e-05,288.1903397364203,1.1415344435832853,27.624256521082913
2.935362920267263e-05,282.48067756788276,1.169049601026415,28.57696657689218
3.063634927900643e-05,276.85233920088706,1.197342120813997,29.53349013929777
3.1975122757897974e-05,271.41083023781096,1.2278705616327041,30.540578834417175
3.337239910903002e-05,266.0534604140889,1.2594355375573019,31.55586748198563
3.483073484111312e-05,260.8115785709923,1.2924968240165793,32.59235690737979
3.635279817936933e-05,255.7203785093196,1.327838643383345,33.67142370893296
3.794137394741583e-05,250.69351500478936,1.3641024994451139,34.74919021385267
3.959936866248177e-05,245.83278841007512,1.4024783323957113,35.85895846203109
4.1329815853280316e-05,241.0668103310885,1.44236220931689,36.98060980911496
4.3135881610265307e-05,236.36051636746583,1.483250445764984,38.09875916867192
4.5020870378427825e-05,231.86355615378827,1.5262746610242237,39.242518270363725
4.69882310032317e-05,227.41276007184288,1.5704560355558561,40.38396392867785
4.904156304074906e-05,223.02974693182415,1.616028608641965,41.528188633495105
5.118462334354216e-05,218.8337931777065,1.6651685513904395,42.72637611610966
5.3421332934340134e-05,214.67591672768137,1.715554927618538,43.918786150500175
5.575578418008766e-05,210.56272826543704,1.767147263054083,45.103983324543265
5.819224827949181e-05,206.66773245586404,1.8222688269101797,46.332615417515804
6.07351830777656e-05,202.80196772949301,1.8787671094380274,47.55395285564717
6.338924122286754e-05,198.96784111233742,1.936541321817561,48.76546442702847
6.615927867815893e-05,195.28056109188054,1.9974217736044362,50.00361153074359
6.905036360705457e-05,191.70579629097548,2.0612654567213333,51.262125844150965
7.206778564592291e-05,188.15325328215596,2.126544836810641,52.50926291236429
7.521706558220164e-05,184.62538622455614,2.1931534230931544,53.74293919548233
7.850396545543508e-05,181.28831859142744,2.262436667744163,54.987018262820186
8.193449909971554e-05,178.04486473757973,2.3340217135160013,56.23303557932992
8.55149431468179e-05,174.81489256694886,2.407184871737403,57.467640570103704
8.925184851015793e-05,171.60092133365302,2.4818144433288527,58.68891902272086
9.315205237058736e-05,168.44378038007605,2.558297204377543,59.90299740662593
9.722269068595352e-05,165.54280960718208,2.6396012376786144,61.15443647773378
0.00010147121124731256,162.64494690622584,2.7226994925859715,62.3942760472702
0.0001059053873056851,159.7527413769966,2.807476213820351,63.62075951007533
0.00011053333179428465,156.868671173019,2.893814848890991,64.83234804451438
0.0001153635121722421,153.99513731568766,2.981598473704177,66.02770439221787
0.00012040476591698315,151.3551835303315,3.069015717550463,67.1835979817437
0.0001256663166936048,148.88651243854278,3.1570162449930486,68.31441631183954
0.00013115779123083597,146.41112503665602,3.2470360416981183,69.43902582344596
0.0001368892369344586,143.9313684293626,3.3389630964942962,70.55573444660803
0.00014287114027041305,141.44956254245196,3.4326829837405306,71.66300875763822
0.00014911444595122733,138.96799252405674,3.528079322736478,72.75946696753023
0.00015563057696086805,136.48890153464956,3.6250342352114435,73.84387139943706
