symbol,n_sessions,crsp_exchcd,median_ratio_rth_continuous,q25_ratio_rth_continuous,q75_ratio_rth_continuous,median_ratio_full_day,q25_ratio_full_day,q75_ratio_full_day,median_full_day_over_rth_continuous,q25_full_day_over_rth_continuous,q75_full_day_over_rth_continuous
JBHT,127,3,4.112827466659211,3.7067252019028034,4.4910114939577515,2.6179032887765157,2.383413212134162,2.9162399937064345,1.5128920199198348,1.3829918641847265,1.6736938859859123
KHC,127,3,4.924435662004599,4.598727586974506,5.370750085186087,2.767233869198709,2.5790447386506807,2.9433659542574313,1.7573625177858634,1.6447766899033955,1.9334064938249735
LIN,127,3,5.137997610962147,4.474199620003844,5.544378663566082,2.4393399999139054,2.2141446699692127,2.620432367900344,2.065867098317015,1.8428492594474217,2.294897174246242
MAS,127,1,8.60328194153322,7.820194986407595,9.618720817510285,8.60328194153322,7.818585901719185,9.615267637638878,1.0000272212543555,1.0,1.0007135994455636
MKTX,127,3,3.8787427221151902,3.4940977383402108,4.328312300327104,2.546258292850318,2.3284262090524193,2.7302552043551453,1.5095135219552824,1.4074089744890195,1.6731132374548725
MMC,127,1,8.964140385785925,7.5075364023012305,10.554221567648469,8.960869449401986,7.5068474918817945,10.541168784661718,1.0001298415932562,1.0,1.0007567328646731
MPWR,127,3,4.202057914475265,3.920727886440803,4.660637325788246,2.1130467048323984,1.9240086968099555,2.297051982550414,1.9717843310457295,1.7341083323626334,2.270247744293064
MS,127,1,8.309764194781405,7.382401406703984,9.395638164225467,8.28150260498895,7.315064451984973,9.367995979153315,1.0020625224355404,1.0008978054453679,1.0055834123109844
MTB,127,1,8.418041542262946,7.313544237951721,9.690475829636348,8.417174953675108,7.313141775547658,9.677661233456606,1.000128153100237,1.0,1.0007680280194964
MTD,127,1,6.0900735294117645,5.201645409163918,7.176585281218795,6.08948437651156,5.201645409163918,7.174541989788423,1.0,1.0,1.000273962205224
NDAQ,127,3,4.379715304351462,3.9586313397307666,5.005718955794155,2.5132382412209338,2.313680349145223,2.7417287065343006,1.7187119838195672,1.5930310251053537,1.9129162841645035
NEM,127,1,10.007639467850437,9.292976781407866,11.323164651442493,9.722977342317256,8.999682635088284,10.97234572408173,1.0223823871379099,1.014018080609841,1.034776646951888
NOW,127,1,7.860883078274383,6.854444951185961,8.842189871168365,7.749458404755826,6.762325801644822,8.809770763169848,1.007175189539919,1.0041529358034782,1.0119918977998088
NUE,127,1,7.7958518336641225,6.852026226087785,8.754970238743217,7.794416485959385,6.810348773446439,8.717814578027495,1.0006244453938935,1.0001944805409888,1.0018386294809962
NVR,127,1,8.779017857142858,7.738424569654832,10.17895173931226,8.776161961790704,7.7358823491325595,10.148016708496378,1.0016589250165893,1.0003138403650171,1.004329780692765
OKE,127,1,9.307783641718393,7.82092340120607,10.996814789836794,9.30259507168648,7.813423284462553,10.971609066878505,1.0006462191076633,1.0001718174107932,1.001742592470845
OTIS,127,1,9.248162316231623,7.983094107274988,10.68494706195559,9.244926268432891,7.980109298120734,10.683476893982505,1.0000335015857418,1.0,1.0003868106544074
PANW,127,3,5.058930949761339,4.5712396157562925,5.540599583759252,3.117951888686695,2.8829694299605455,3.4167667502633563,1.5591619436738393,1.4193488792790507,1.761752086814384
PAYC,127,1,6.849506380929449,5.912008222073224,7.675523690010698,6.848084873238034,5.90507835923214,7.648085753995719,1.001088294357712,1.0003654944742588,1.0026497657494329
PAYX,127,3,4.106483367858794,3.6736362405837504,4.688128040979038,2.2771171906283763,2.134526112947234,2.468891998651271,1.7923842831988723,1.6002832723953784,2.0126691704046085
POOL,127,3,3.9308381323892365,3.436244173044644,4.379456321352452,2.4761474669513097,2.2943902148958326,2.773958980860091,1.503132598548178,1.384216678395663,1.7146087615894492
PPL,127,1,10.164877137103673,8.679510321842757,11.713633730568088,10.164877137103673,8.677075414579122,11.713592094126373,1.0000041370094799,1.0,1.0004871714059478
REG,127,3,4.04697029343185,3.6144129079110536,4.647460555312932,2.228740817330543,1.9927335313358743,2.4180265740151303,1.843590656377933,1.6274518937962097,2.096656403697612
RF,127,1,9.025066843480769,7.777386136055361,10.253254431418892,9.021008032672945,7.771214982053799,10.238752974136275,1.0002721991357029,1.000005232114193,1.0009084141605582
RL,127,1,6.921463054761011,6.065815529905706,7.87515046206145,6.918523195333875,6.064058737497701,7.87515046206145,1.0000577549091674,1.0,1.0014341374379387
ROST,127,3,4.116871662852784,3.6436280371896945,4.711859774635753,2.3669228879295217,2.2100144522004737,2.698965623451862,1.666993918102087,1.5382833912302958,1.877114983426658
RSG,127,1,9.543380189604447,8.326715040384007,11.230443780374573,9.525475161106126,8.32194948293164,11.227356956638063,1.0001329924785365,1.0,1.000859808806805
SBUX,127,3,5.246022051852415,4.805094581421567,5.759309668980383,3.267091128974888,2.983561009460253,3.624586619859321,1.5518010209721342,1.4531099702780947,1.809716927801618
SNPS,127,3,4.066471433307548,3.7091939532900238,4.384633554754226,2.48328482864202,2.3215301346383836,2.732743612993499,1.5628919539784238,1.4514828415721004,1.7507979360695716
SO,127,1,10.581971640364056,8.593606357310406,12.027209627762076,10.580279547720858,8.58904079877936,12.012720575153729,1.0004437191841404,1.0001085332854092,1.0011162072508928
SRE,127,1,10.780592316212907,9.152779192933155,12.475546961531109,10.771621273019282,9.152337012725098,12.475313161027545,1.0000675023457064,1.0000012739762327,1.0005004453830708
STZ,127,1,8.327815936643772,6.916690525698796,9.621999124889559,8.318917196258178,6.906511476901519,9.618654424895059,1.0001834946557182,1.0000138351185623,1.000749922864447
SYF,127,1,7.812060480850914,6.852391177480907,9.162487652156607,7.812060480850914,6.821154229283302,9.157382217311334,1.000202001561148,1.0,1.0010963779882012
SYY,127,1,9.761231451890541,8.75576402779744,11.12221844329045,9.702926080611885,8.755657387917786,11.107189666495515,1.0000630105709498,1.0000034045514714,1.0004432349921206
TER,127,3,4.073701934348463,3.7661322683309595,4.534539334115547,1.9745983383618448,1.825107081473249,2.183847062094059,1.9938768488241725,1.779281869501174,2.403072657614157
TROW,127,3,4.1863270247566335,3.751794485363911,4.702439872010112,2.3772187417792803,2.156438112312629,2.569671721474233,1.785025039290376,1.5948816580407108,2.086653278384872
TTWO,127,3,4.070225797140981,3.6564467104278493,4.445222979864694,2.399532790545879,2.2028877418750143,2.5650230783418455,1.6190957529917827,1.5110150440646986,1.859686906398076
UAL,127,3,4.632986574864356,4.287348936689623,5.111920419412902,3.1890888757499507,2.9322072076441783,3.5554275322633884,1.399714066027076,1.3159334528115088,1.526322179940443
UBER,127,1,9.277137641498657,8.229378251856607,10.1878270737333,9.076957968837442,8.100693098116917,9.929072365458087,1.0131097586704512,1.0074797333503875,1.0180021194967688
UHS,127,1,7.392048055967621,6.680944882099382,8.555152928214696,7.392048055967621,6.680944882099382,8.551480035901474,1.0000338501117054,1.0,1.0004904589441586
UPS,127,1,8.10795089255181,7.171377683443953,9.375635785975987,8.079519780268463,7.155519202662139,9.33594230146393,1.0014296745649767,1.000638162648439,1.003498627929447
VMC,127,1,7.518335467095404,6.492697709237733,8.57076763617598,7.509094513555038,6.492525875486036,8.570590549610952,1.0000281565221063,1.0,1.0004641011566169
VRSN,127,3,3.703955348654231,3.4250852043622597,4.069513348051775,2.2760659261913294,2.1205681407616597,2.4274746878453675,1.5888859756659273,1.4882491388332477,1.7794414004549197
VST,127,1,8.09766173675948,7.144971404131949,9.408599342193925,8.047452071438466,7.061984051839843,9.24254095750883,1.0083826479264806,1.0051511633069348,1.0156298897428564
VTRS,127,3,5.166316631569481,4.618324933243961,6.130951607400837,2.7731112075352184,2.480835287623446,3.0951375409276025,1.8222644634598277,1.65734187860635,2.085837625587852
WAB,127,1,7.646915293525586,6.7082235642217976,9.47589053290026,7.646915293525586,6.7013100840097195,9.47589053290026,1.0000416368847282,1.0,1.0002850150489357
WYNN,127,3,4.181713312301795,3.855828547769418,4.623287899311967,2.886096428603968,2.6572741533469375,3.197796058746215,1.420730811111515,1.3579127152649288,1.5212107902300933
YUM,127,1,8.997790140926977,7.6727260444839285,10.596837673425448,8.987112729271141,7.6720036092361115,10.59674438414065,1.0002395783421179,1.0000101099815435,1.0008738762305414
ZBH,127,1,7.9770546056260345,7.038621719647345,9.187258512145185,7.9770546056260345,7.038449113423419,9.187119669897342,1.0000314171490507,1.0,1.000291103289919
POOLED_median_of_name_medians,13716,-1,7.596753070769181,4.60743840635736,8.825298489303623,7.593853876279974,2.756114098205704,8.812581817466633,1.001651133789088,1.0000797986758538,1.56407447652064
