q,impact,n,symbol
0.0017958629415307276,0.06343144327929798,1070,EA
0.0021316022685105504,0.06660581442205975,1070,EA
0.0025762512941153713,0.07787743223439045,1069,EA
0.003285043399255829,0.08441036635036961,1070,EA
0.006756630419831603,0.11258088291407443,1070,EA
0.0002886692908346617,0.01938643703497054,1054,EBAY
0.0004817027606934802,0.026485918378349883,1053,EBAY
0.0006250552060388942,0.03113031968747062,1054,EBAY
0.000762286374338048,0.03832896560133682,1053,EBAY
0.0009017383457217803,0.04090476893200845,1053,EBAY
0.001048350788002993,0.04436151615064267,1054,EBAY
0.0012160386719082714,0.047702389856663155,1053,EBAY
0.0014160258677339606,0.05705442405441595,1053,EBAY
0.0016681958545522002,0.05965760975452494,1054,EBAY
0.0020125113725343513,0.06787114738206478,1053,EBAY
0.002582800780816929,0.0798666181893985,1053,EBAY
0.0058280521735975645,0.11216551378992207,1054,EBAY
0.00027095580752361213,0.02442253359611221,561,EFX
0.000653987498841521,0.02880221267984368,561,EFX
0.0010304234997538604,0.0363812789621347,561,EFX
0.0014295284823638587,0.038956511079106276,560,EFX
0.0018237467334242684,0.04313053788690178,560,EFX
0.002300486136663872,0.05060479149155654,561,EFX
0.002807280792304661,0.05190677743300198,561,EFX
0.0034113070965443135,0.05200520630380153,560,EFX
0.004179947801634742,0.05779209635763417,561,EFX
0.005292886372888644,0.06787782074396356,560,EFX
0.007197361412208498,0.07113363375779504,561,EFX
0.014701562107375997,0.06903252125235096,561,EFX
0.00030612052460206866,0.025236635818365365,988,EL
0.000578384499742277,0.031181220229495023,988,EL
0.000791551215852171,0.03661583303805834,988,EL
0.0009976578953778282,0.041036275913284875,988,EL
0.0012171412518686804,0.04378192928739904,987,EL
0.001455192459006146,0.04629854882531578,988,EL
0.0017305762952230389,0.05305600957687047,988,EL
0.0020490635983249723,0.05763612459588875,988,EL
0.0024609403609087642,0.06177298844816862,987,EL
0.0030519662800274883,0.06994794463333784,988,EL
0.004008517946555781,0.0753217131022376,988,EL
0.00794927073060221,0.08648433377821425,988,EL
0.00025690925289918227,0.02195535867143847,954,ENPH
0.00045706705937109416,0.030519782268487578,954,ENPH
0.0006101480147563269,0.03382934872718912,953,ENPH
0.0007648309093621778,0.04075732082751661,954,ENPH
0.0009355802319165203,0.04446102537339858,953,ENPH
0.0011232963753974535,0.05255668966739757,954,ENPH
0.001337870101395052,0.05501304416966206,953,ENPH
0.0015999337708970194,0.06063727098133398,954,ENPH
0.0019293788595835287,0.06728006035555255,953,ENPH
0.002401192979102766,0.07489099999076013,954,ENPH
