session,schedule,benchmark,pricing,saving_per_share,saving_pct
INTC_2024-08-02,kkt_ac_medium,vwap,realised_bucket,-7.620092015827275e-05,-33.2701989261115
INTC_2024-08-02,kkt_ac_high,twap,realised_bucket,-0.00042271990210542227,-185.56530015281646
INTC_2024-08-02,kkt_ac_high,vwap,realised_bucket,-0.0004214844967378442,-184.02498318411287
INTC_2024-04-01,kkt_risk_neutral,twap,model,0.0003513495467608505,13.112104489798773
INTC_2024-04-01,kkt_risk_neutral,vwap,model,1.0588777339276025e-05,0.4527399851490359
INTC_2024-04-01,kkt_ac_low,twap,model,0.0003296143781767111,12.300964119173473
INTC_2024-04-01,kkt_ac_low,vwap,model,-1.1146391244863402e-05,-0.4765816529115754
INTC_2024-04-01,kkt_ac_medium,twap,model,-0.0004380400178495571,-16.347328572665468
INTC_2024-04-01,kkt_ac_medium,vwap,model,-0.0007788007872711316,-33.298864029876476
INTC_2024-04-01,kkt_ac_high,twap,model,-0.004182215092278884,-156.07716530256383
INTC_2024-04-01,kkt_ac_high,vwap,model,-0.004522975861700459,-193.38701332969202
INTC_2024-04-01,kkt_risk_neutral,twap,realised_bucket,-9.152863249266459e-07,-0.48413623117423343
INTC_2024-04-01,kkt_risk_neutral,vwap,realised_bucket,-6.675137300868848e-07,-0.35261599545463684
INTC_2024-04-01,kkt_ac_low,twap,realised_bucket,-2.337597459141908e-06,-1.2364607588364516
INTC_2024-04-01,kkt_ac_low,vwap,realised_bucket,-2.089824864302147e-06,-1.103955831374189
INTC_2024-04-01,kkt_ac_medium,twap,realised_bucket,-6.205690909002735e-05,-32.82469896791662
INTC_2024-04-01,kkt_ac_medium,vwap,realised_bucket,-6.180913649518759e-05,-32.65084928006684
INTC_2024-04-01,kkt_ac_high,twap,realised_bucket,-0.00035038602876331687,-185.33497857642948
INTC_2024-04-01,kkt_ac_high,vwap,realised_bucket,-0.0003501382561684771,-184.9615134201477
INTC_2024-10-01,kkt_risk_neutral,twap,model,0.000595207042157416,11.872907479561027
INTC_2024-10-01,kkt_risk_neutral,vwap,model,7.407859310127121e-05,1.6491136421037247
INTC_2024-10-01,kkt_ac_low,twap,model,0.0005546603516495162,11.064101348407473
INTC_2024-10-01,kkt_ac_low,vwap,model,3.353190259337141e-05,0.7464763529839922
INTC_2024-10-01,kkt_ac_medium,twap,model,-0.0008510074251102222,-16.975492067650826
